Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 10, Atlanta, Georgia",10-RC-228129,"DHL Supply Chain",Closed,09/26/2018,11/01/2018,"Certific. of Representative",Atlanta,GA,A,"Single Labor Organization",Initial,10/19/2018,89,,"Retail, Wholesale Department Store Union/UFCW Southeast Council",45,,,,,34,79,,3,,"Retail, Wholesale Department Store Union/UFCW Southeast Council","All full-time and regular part-time warehouse general clerks, customer service clerks, inventory control, auditors, building maintenance, cycle counters, fork lift operators, laborers and warehouse lead employees employed by the Employer at its Atlanta, Georgia facility, but excluding all contractors, temporary employees, salaried employees, office clerical employees, professional employees, guards and supervisors as defined in the Act.",,,
"Region 01, Boston, Massachusetts",01-RC-228353,"Cape Cod Hospital",Closed,10/01/2018,10/31/2018,"Certific. of Representative",Hyannis,MA,A,"Two Labor Organizations",Initial,10/19/2018,21,,"International Union, Security, Police and Fire Professionals of America (SPFPA) and its Local 519",2,"United Government Security Officers of America, International Union",15,,,,17,,,,"United Government Security Officers of America, International Union","Included:  All regular full-time and part-time armed and unarmed security officers employed by the Employer at the Employer’s Hyannis, Massachusetts facility.
Excluded: All other employees, including office clerical employees, professional employees, confidential employees, non-security officers, managers and supervisors as defined under the National Labor Relations Act.",,,
"Region 19, Seattle, Washington",19-RC-228197,"Americold Logistics, LLC",Closed,09/27/2018,10/29/2018,"Certific. of Representative",Tacoma,WA,A,"Single Labor Organization",Initial,10/19/2018,10,,"Teamsters Union Local 117",8,,,,,1,9,,,,Americold,"All full-time and regular part-time Inventory Control employees and Wave Planners employed by the Employer at its facility located at 1301 E 26th Avenue, Tacoma, Washington; excluding all office clerical employees, all other employees, and guards and supervisors as defined by the National Labor Relations Act.",,,
"Region 15, New Orleans, Louisiana",15-RC-227987,"Delaware Resource Group of Oklahoma, LLC (DRG)",Closed,09/25/2018,10/26/2018,"Certific. of Representative","Hurlburt Field",FL,A,"Single Labor Organization",Initial,10/18/2018,12,,"International Association of Machinists and Aerospace Workers, AFL-CIO",10,,,,,,10,,,,"International Association of Machinists and Aerospace Workers, AFL-CIO","Included: All Full and Regular Part Time Hourly Employees to include Electronic Techs, and Material Coordinator working at Delaware Resource Group at Hurlburt Field located in Florida.
Excluded: Engineers, Office Clerical Employees, Professional Employees, Managerial Employees, Guards, and Supervisors as defined by the Act.",,,
"Region 03, Buffalo, New York",03-RC-226811,"Auburn Memorial Medical Services, PC",Closed,09/06/2018,10/26/2018,"Certific. of Representative",Auburn,NY,A,"Single Labor Organization",Initial,10/18/2018,121,,"1199SEIU Healthcare Workers East",62,,,,,32,94,,3,,"1199SEIU Healthcare Workers East",,,,
"Region 12, Tampa, Florida",12-RC-227781,"CEMEX Construction Materials Florida, LLC",Closed,09/21/2018,10/30/2018,"Certific. of Representative",Brooksville,FL,A,"Single Labor Organization",Initial,10/18/2018,105,,"The International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers and Helpers, AFL-CIO/CLC",63,,,,,41,104,,,,"The International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers and Helpers, AFL-CIO/CLC","Included:  All full-time and regular part-time Electricians, Electrical Repairman (A, B & C), Mechanical Repairman (A, B & C), Maintenance Mechanics (A, B & C), Maintenance Repairman (A, B & C), Reliability Technicians, Senior Process Attendants, Process Attendants (A, B & C), Storeroom Attendants, Yardmen, Equipment Operators (A, B & C), Control Room Operators, Leadmen, Bulk Loaders, Utility Packers, and Material Handlers employed by the Employer at its facility located at 10311 Cement Plant Road, Brooksville, Florida.

Excluded:  All other employees, Administrative Assistants, Clerks, office clerical employees, professional employees, guards, and supervisors as defined by the Act.",,,
"Region 19, Seattle, Washington",19-RC-227873,"Cascadia Behavioral Healthcare, Inc. d/b/a Cascadia Behavioral Healthcare",Closed,09/21/2018,10/26/2018,"Certific. of Representative",Portland,OR,A,"Single Labor Organization",Initial,10/18/2018,137,,"American Federation of State, County and Municipal Employees, Council 75",71,,,,,34,105,,7,,"American Federation of State, County and Municipal Employees, Council 75","All full-time, regular part-time, and relief professional employees including Counselor III, Counselor II - CADC, Naturopathic Doctor, Nurse Practitioner, Registered Nurse, Physician Assistant, Licensed Clinical Social Worker, and Psychiatrist employed by the Employer at its outpatient clinics currently located at 2415 SE 43rd Avenue, Portland, Oregon; 10373 NE Hancock Street, Portland, Oregon; 3036 NE MLK Blvd., Portland, Oregon; and 17070 SE McLoughlin Boulevard, Milwaukie, Oregon; but excluding all non-professional employees, managerial employees, guards and supervisors as defined by the Act, and all other employees.",,,
"Region 19, Seattle, Washington",19-RC-227874,"Cascadia Behavioral Healthcare, Inc. d/b/a Cascadia Behavioral Healthcare",Closed,09/21/2018,10/26/2018,"Certific. of Representative",Portland,OR,A,"Single Labor Organization",Initial,10/18/2018,82,,"American Federation of State, County and Municipal Employees, Council 75",43,,,,,23,66,,6,,"American Federation of State, County and Municipal Employees, Council 75","All full-time, regular part-time, and relief non-professional employees including Administrative Coordinator, Care Coordinator, Skills Trainer, Certified Recovery Mentor, Childcare Worker, Counselor II, Employment Specialist, Information & Referral Specialist, Medical Assistant, Money Management Specialist, Office Coordinator, Office Specialist, Peer Support Specialist, Peer Wellness Specialist, Program Coordinator, and Safety Specialist employed by the Employer at its outpatient clinics currently located at 2415 SE 43rd Avenue, Portland, Oregon; 10373 NE Hancock Street, Portland, Oregon; 3036 NE MLK Blvd., Portland, Oregon; and 17070 SE McLoughlin Boulevard, Milwaukie, Oregon; but excluding all professional employees, managerial employees, guards and supervisors as defined by the Act, and all other employees.",,,
"Region 31, Los Angeles, California",31-RC-228102,"The GEO GROUP INC.",Closed,09/26/2018,11/26/2018,"Certific. of Representative",ADELANTO,CA,A,"Single Labor Organization",Initial,10/18/2018,10,,"OFFICE AND PROFESSIONAL EMPLOYEES INTERNATIONAL UNION, LOCAL 30",8,,,,,,8,,,,"OFFICE AND PROFESSIONAL EMPLOYEES INTERNATIONAL UNION, LOCAL 30","Included: All regular and part-time Maintenance Technicians and Janitors employed by the Employer at its facility located at 10400 Rancho Road, Adelanto, CA  92301.

Excluded: All other employees, including payroll clerks, managerial employees, confidential employees, guards and supervisors as defined by the Act, as amended.",,,
"Region 02, New York, New York",02-RC-228410,"Hubert Street Condominium",Closed,10/02/2018,10/26/2018,"Certific. of Representative","New York",NY,A,"Single Labor Organization",Initial,10/18/2018,7,,"Service Employees International Union, Local 32BJ",7,,,,,,7,,,,"Service Employees International Union, Local 32BJ","Included: All full-time and regular part-time building service workers employed by the Employer at its 7 Hubert Street, New York, New York facility

Excluded: All other employees, including guards, and professional employees and supervisors as defined in the Act",,,
"Region 25, Indianapolis, Indiana",25-RC-228626,"STAFFORD-SMITH, INC.",Closed,10/04/2018,05/17/2019,"Withdrawal Non-adjusted",Mishawaka,IN,A,"Single Labor Organization",Initial,10/18/2018,4,,"UNITED ASSOCIATION OF JOURNEYMAN AND APPRENTICES OF THE PLUMBING AND PIPEFITTING INDUSTRY OF THE UNITED STATES AND CANADA LOCAL UNION NO. 172 OF SOUTH BEND, INDIANA",2,,,,,2,4,,,,,"All full-time and regular part-time journeymen and apprentice plumbers, pipefitters, welders, service employees, and tradesmen employed by the Employer at its 1721 N. Home Street, Mishawaka, Indiana facility; BUT EXCLUDING all office clerical employees, professional employees, guards and supervisors as defined in the Act, and ali other employees.",,,
