Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 03, Buffalo, New York",03-RC-127374,"Marist College",Closed,04/28/2014,08/01/2024,"Certification of Results",Poughkeepsie,NY,A,"Revised Single Labor Org",Rerun,07/19/2024,549,8,"Service Employees International Union, Local 200 United",173,,,,,184,357,,,,,"All adjunct faculty*  employed by the Employer who teach undergraduate and/or graduate level courses, who teach in the classroom and/or online, and who teach courses at either the Employer’s Poughkeepsie, New York campus or its Fishkill, New York campus, and Student Teaching Supervisors;  but excluding all other faculty, tenured and tenure eligible faculty, full-time faculty and faculty who only teach in the classroom at locations other than the Poughkeepsie Campus or the Fishkill Campus, administrators, coaches, librarians, directors, managers, guards, supervisors and professional employees as defined in the Act, and all other employees whether or not they have teaching responsibilities.

*The parties agree that for purposes of this election, to be eligible to vote the employees must have taught at least one credit hour in any given semester in the twelve months preceding the eligibility date.",,,
"Region 10, Atlanta, Georgia",10-RC-137728,"Taylor Motors, Inc.",Closed,09/29/2014,09/20/2018,"Certification of Results","Fort Campbell",KY,A,"Single Labor Organization",Rerun,09/12/2018,65,,"American Federation of Government Employees (AFGE), AFL-CIO, Local 2022",24,,,,,37,61,,,,,"All full time and regular part time bus drivers, aides, mechanics, and clerical employees employed by the Employer at its Fort Campbell, Kentucky facility, but excluding all other employees, professional employees, confidential employees, guards, and supervisors as defined in the Act.",,,
"Region 13, Chicago, Illinois",13-RC-135485,"Neises Construction Corp.",Closed,08/26/2014,10/16/2017,"Certific. of Representative","Crown Point",IN,A,"Revised Single Labor Org",Initial,09/25/2017,20,1,"Indiana/Kentucky/Ohio Regional Council of Carpenters",7,,,,,5,12,,,,"Indiana/Kentucky/Ohio Regional Council of Carpenters","Included: All full-time and part-time wall and footer carpenters employed by the Employer working out of its facility located at 1640 East North Street, Crown Point, Indiana.

Excluded: All other employees, all employees who are currently represented by other labor organizations, managerial employees, professional employees, confidential employees, clerical employees, supervisors, and guards as defined by the Act.",,,
"Region 02, New York, New York",02-RC-143009,"The New School",Closed,12/17/2014,07/21/2017,"Certific. of Representative","New York",NY,A,"Single Labor Organization",Initial,07/13/2017,1052,,"United Automobile Workers",502,,,,,2,504,,89,,"United Automobile Workers","EMPLOYEES ELIGIBLE TO VOTE:  All student employees who provide teaching, instructionally-related or research services, including Teaching Assistants (Course Assistants, Teaching Assistants, Teaching Fellows, Student Assistants 3 at the Parsons School, and Tutors) and Research Assistants (Research Assistants and Research Associates).

EMPLOYEES NOT ELIGIBLE TO VOTE:  All other employees, Student Assistants at schools other than Parsons, guards and supervisors as defined by the Act.

The following employees are eligible to vote:

(1) All currently enrolled Course Assistants, Teaching Assistants, Teaching Fellows, Student Assistants 3 at the Parsons School, Research Assistants, Research Associates, compensated through a stipend, that received an assignment in any of the following semesters: Spring 2016, Summer 2016, Fall 2016, or Spring 2017; and
(2) All currently enrolled Tutors, and any other unit employees compensated only on an hourly basis, that have received an assignment for which at least 60 hours was worked in any of the following semesters: Spring 2016, Summer 2016, Fall 2016, or Spring 2017.",,,
"Region 21, Los Angeles, California",21-RC-126725,"UNF WEST, INC., A/K/A UNITED NATURAL FOODS",Closed,04/16/2014,05/25/2017,"Certific. of Representative","Moreno Valley",CA,A,"Single Labor Organization",Initial,05/11/2017,283,1,"Teamsters, Chauffeurs, Warehousemen, Industrial and Allied Workers of America, Local 166, International Brotherhood of Teamsters",139,,,,,116,255,,,,"Teamsters, Chauffeurs, Warehousemen, Industrial and Allied Workers of America, Local 166, International Brotherhood of Teamsters","Included:	All full-time and regular part-time warehouse employees including forklift operators, reach operators, dry and pallet and chill employees, back stockers, repack employees, freezer employees, order selectors, shipping and receiving employees, quality control employees, maintenance employees, sanitation employees, lead employees, load/consolidation employees, inventory control employees, return employees, cross dock coordinator, and load consolidation employees employed by the Employer at its facility currently located at 22150 Goldencrest Drive, Moreno Valley, California.
Excluded:  All other employees, drivers, office clerical employees, professional employees, temporary employees, confidential employees, safety loss prevention coordinators, guards, and supervisors as defined in the Act.",,,
"Region 02, New York, New York",02-RC-143012,"The Trustees of Columbia University in the City of New York",Closed,12/17/2014,12/16/2017,"Certific. of Representative","New York",NY,A,"Single Labor Organization",Initial,12/09/2016,4256,3,"Graduate Workers of Columbia, UAW Local 2110",1602,,,,,623,2225,,647,,"Graduate Workers of Columbia, UAW Local 2110","Included:  All student employees who provide instructional services, including graduate and undergraduate Teaching Assistants (Teaching Assistants, Teaching Fellows, Preceptors, Course Assistants, Readers and Graders):  All Graduate Research Assistants (including those compensated through Training Grants) and All Departmental Research Assistants employed by the Employer at all of its facilities, including Morningside Heights, Health Sciences, Lamont-Doherty and Nevis facilities. 

Excluded:  All other employees, guards and supervisors as defined in the Act.",,,
"Region 03, Buffalo, New York",03-RC-127374,"Marist College",Closed,04/28/2014,08/01/2024,"Certification of Results",Poughkeepsie,NY,A,"Single Labor Organization",Rerun,10/31/2016,549,8,"Service Employees International Union, Local 200 United",167,,,,,177,406,,62,Y,,"All adjunct faculty*  employed by the Employer who teach undergraduate and/or graduate level courses, who teach in the classroom and/or online, and who teach courses at either the Employer’s Poughkeepsie, New York campus or its Fishkill, New York campus, and Student Teaching Supervisors;  but excluding all other faculty, tenured and tenure eligible faculty, full-time faculty and faculty who only teach in the classroom at locations other than the Poughkeepsie Campus or the Fishkill Campus, administrators, coaches, librarians, directors, managers, guards, supervisors and professional employees as defined in the Act, and all other employees whether or not they have teaching responsibilities.

*The parties agree that for purposes of this election, to be eligible to vote the employees must have taught at least one credit hour in any given semester in the twelve months preceding the eligibility date.",,,
"Region 29, Brooklyn, New York",29-RD-132061,"Riverhead Charter School",Closed,07/03/2014,11/10/2016,"Certific. of Representative",Calverton,NY,A,"Single Labor Organization",Initial,10/26/2016,30,,"NEW YORK STATE UNITED TEACHERS (NYSUT)",16,,,,,9,25,,5,,"NEW YORK STATE UNITED TEACHERS (NYSUT)",,,,
"Region 08, Cleveland, Ohio",08-RC-127213,"ACE HEATING & AIR CONDITIONING CO., INC.",Closed,04/24/2014,10/14/2016,"Certification of Results",CLEVELAND,OH,A,"Single Labor Organization",Initial,10/05/2016,4,,"International Association of Sheet Metal, Air, Rail and Transportation Workers, Local Union No. 33, AFL-CIO",,,,,,4,4,,,,,"All full time field installers and service technicians employed at the Employer’s facility located at 1500 Brookpark Road, Cleveland, Ohio, but excluding all sales staff, office clerical employees, professional employees, guards, and supervisors as defined by the National Labor Relations Act.",,,
"Region 19, Seattle, Washington",19-RC-122863,"Seattle University",Closed,02/20/2014,09/19/2016,"Certific. of Representative",Seattle,WA,A,"Single Labor Organization",Initial,09/09/2016,199,,"Service Employees International Union (SEIU) Local 925, CTW, CLC",73,,,,,63,136,,4,,"Service Employees International Union (SEIU) Local 925, CTW, CLC","All non-tenure-eligible faculty employed by the Employer, including but not limited to all non-tenure-track instructors, senior instructors, adjunct faculty, senior adjuncts, lecturers, senior lecturers, legacy titles including but not limited to visiting professors, visiting assistant professors, and core lecturers; 

excluding all faculty teaching in the College of Nursing, all faculty teaching in the School of Law, all non-tenure eligible faculty in the Department of Theology and Religious Studies and in the School of Theology and Ministry, all other employees, professors emeritus, tenure-track and tenured faculty, administrative faculty, full-time staff who are not compensated additionally for teaching, administrators, department administrators, program coordinators, program directors, directors, clinical professor series, library faculty, research faculty, research scientists/scholars, post-doctoral scholars/fellows, truly visiting faculty, distinguished professors, professors in residence, endowed chairs, campus clergy, deans, associate deans, department chairs, campus safety personnel, lab assistants, graduate assistants, teaching assistants, managers, guards, and supervisors as defined in the Act.",,,
