Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 29, Brooklyn, New York",29-RC-089045,"Remington Long Island Employers, LLC",Closed,09/11/2012,12/28/2020,"Certification of Results",Hauppauge,NY,A,"Single Labor Organization",Initial,11/24/2020,80,1,"Local 947, The International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers and Helpers (IBBIS), AFL-CIO",11,,,,,35,46,,,,,"All full-time and regular part-time housekeeping employees, restaurant employees, kitchen employees, banquet employees, front desk employees and engineering employees employed by the Employer at its Hyatt Regency hotel located at 1717 Motor Parkway, Hauppauge, New York, but excluding all office clerical employees, guards and supervisors as defined in the Act.",,,
"Region 12, Tampa, Florida",12-RC-073852,"Schwarz Partners Packaging, LLC, d/b/a MaxPak",Closed,02/06/2012,08/19/2019,"Certific. of Representative",Lakeland,FL,A,"Revised Single Labor Org",Rerun,08/06/2019,90,,"United Steelworkers International Union",67,,,,,20,87,,,,"United Steelworkers International Union",,,,
"Region 13, Chicago, Illinois",13-RC-092296,"Saint Xavier University",Closed,10/30/2012,05/08/2017,"Certific. of Representative",Chicago,IL,A,"Single Labor Organization",Initial,04/28/2017,20,,"Service Employees International Union, Local 1",14,,,,,6,20,,,,"Service Employees International Union, Local 1","All full-time and regular part-time housekeepers employed by the Employer at its facility currently located at 3700 W. 103rd St., Chicago, Illinois, but excluding all managerial employees, office clerical employees, and guards, professional employees, and supervisors as defined by the Act.",,,
"Region 02, New York, New York",02-RC-092111,"Peacock Productions of NBC Universal Media, LLC",Closed,10/26/2012,09/29/2016,"Certific. of Representative","New York",NY,A,"Single Labor Organization",Initial,09/21/2016,104,1,"Writers Guild of America, East",47,,,,,38,85,,7,,"Writers Guild of America, East","Included: 
All full-time and regular part-time freelance and ""run of show"" producers, associate producers and casting producers who meet the criteria of the stipulated eligibility formula: ""run of show"" employees in these classifications who were employed as of October 26, 2012, and all freelance employees in these classifications who worked 6 weeks or more in the 52 weeks prior to October 26, 2012. Employment in any workday in a given week constitutes one week of employment.

Excluded: 
All other employees, guards, professional employees, and supervisors as defined in the Act.",,,
"Region 28, Phoenix, Arizona",28-RD-071690,"MERCY, INC., d/b/a AMERICAN MEDICAL RESPONSE",Closed,01/03/2012,06/02/2016,"Certification of Results","Las Vegas",NV,A,"Single Labor Organization",Initial,05/12/2016,314,,"SERVICE EMPLOYEES INTERNATIONAL UNION, LOCAL1107",30,,,,,30,60,,1,Y,,"Included: 
All full-time and regular part-time paramedics, EMT-1 's and EMT's employed by the Employer at its Las Vegas, Nevada facility. 

Excluded:
All other employees, dispatchers, special event employees, transporters, field training officers, guards and supervisors as
defined in the Act.",,,
"Region 05, Baltimore, Maryland",05-RC-085844,AmeriGuard,Closed,07/24/2012,10/02/2015,"Certific. of Representative",Fresno,CA,A,"Two Labor Organizations",Initial,09/24/2015,60,2,"United Security & Police Officers of America (USPOA), Local 210",2,"UNITED UNION OF SECURITY GUARDS, Local 555 SPFPA",18,,,,20,,3,,"UNITED UNION OF SECURITY GUARDS, Local 555 SPFPA","All full-time and regular part-time armed security guards (Protective Service Officers or PSOs) assigned by the Employer to the federal buildings known as the FDA facilities currently located at 12420 Parklawn Drive, Rockville, Maryland; 5630 Fisher’s Lane, Rockville, Maryland; 7500 Standish Place, Rockville, Maryland; 7519 Standish Place, Rockville, Maryland; 2098 Gaither Road, Rockville, Maryland; 16071 Industrial Drive, Rockville, Maryland, and 7700 Wisconsin Avenue, Bethesda, Maryland, but excluding the facility located at 8301 Muirkirk Road in Laurel, Maryland, but excluding all clerical employees, professional employees, managerial employees, project managers, assistant project managers, captains, lieutenants, console operators, and supervisors as defined in the Act.",,,
"Region 31, Los Angeles, California",31-RC-093617,"Kaiser Foundation Hospitals",Closed,11/21/2012,08/03/2015,"Certific. of Representative","Los Angeles",CA,A,"Two Labor Organizations",Initial,07/23/2015,1114,1,"CALIFORNIA NURSES ASSOCIATION/NATIONAL NURSES UNITED (CNA/NNU)",696,"UNITED NURSES ASSOCIATIONS OF CALIFORNIA/UNION OF HEALTHCARE PROFESSIONALS, NUHHCE, AFSCME, AFL-CIO",305,,,,1015,,13,,"CALIFORNIA NURSES ASSOCIATION/NATIONAL NURSES UNITED (CNA/NNU)","Included: All employees covered by the United Healthcare Workers - West American Federation of Nurses Collective Bargaining Agreement until February 3, 2010, including all in-patient registered nurses, all home health and hopice registered nurses including level II hospital, level II step down, level III specialty unit,m level III charge, and PHN employed by Kaiser Foundation Hospitals at its facility with entrances located at 1526 North Edgemont Street and 4867 Sunset Blvd., Los Angeles, California; and Kaiser LAMC Home Health and Hospice located at 3699 Wilshire Blvd., 3rd Fl. Los Angeles, California.

Excluded: All other employees, office clerical employees, guards and supervisors as defined in the Act.",,,
"Region 05, Baltimore, Maryland",05-RC-089312,"Alcoa Power and Propulsion d/b/a Howmet Castings & Services, Inc.",Closed,09/14/2012,06/29/2015,"Certific. of Representative",Hampton,VA,A,"Single Labor Organization",Rerun,06/19/2015,458,,"UNITED STEELWORKERS OF AMERICA, AFL-CIO, LOCAL 7054-09",241,,,,,197,438,,11,,"UNITED STEELWORKERS OF AMERICA, AFL-CIO, LOCAL 7054-09","All full-time and regular part-time production and maintenance employees,
including shipping and receiving and tool room employees, quality control
technicians, quality auditors, quality systems technicians, and document control
employees employed by the Employer at its Hampton, Virginia facility, but
excluding all office cledcal employees, temporary employees, team leaders,
managerial employees, professional employees, guards and supervisors as
defined in the Act.",,,
"Region 10, Atlanta, Georgia",11-RC-076776,"Intertape Polymer Corp.",Closed,03/16/2012,07/21/2016,"Withdrawal Non-adjusted",COLUMBIA,SC,A,"Single Labor Organization",Rerun,05/20/2015,183,,"United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",74,,,,,80,154,,14,Y,,"All full-time and regular part-time production and maintenance employees, including converting operators, converting technicians, converting specialists, coating operators, environmental operators, maintenance technicians, stockroom coordinator, mixing operators, quality assurance technicians, shipping/receiving/warehouse operators, shipping/receiving/warehouse coordinators, crew captains, and lead operators employed by the Employer at its facility at its Columbia, South Carolina facility located at 2000 South Beltline Rd.and/or its Blythewood, South Carolina facility located at 1091 Carolina Pines Dr.; but excluding all office clericals, professional employees, guards and supervisors as defined in the Act.",,,
"Region 12, Tampa, Florida",24-RC-090254,"SUIZA DAIRY CORPORATION",Closed,09/28/2012,04/14/2015,"Certific. of Representative","Rio Piedras",PR,A,"Revised Two Labor Orgs",Rerun,04/09/2015,209,,"Central General de Trabajadores (CGT)",92,"UNION INSULAR DE TRABAJADORES INDUSTRIALES Y CONSTRUCCION ELECTRICAS (UITICE)",95,,,,187,,,,"UNION INSULAR DE TRABAJADORES INDUSTRIALES Y CONSTRUCCION ELECTRICAS (UITICE)","Included:  All production and maintenance employees, refrigeration department employees, employees that work in the refrigerator extension and the warehouse runner.

Excluded:  All other employees, temporarily employees, office clerical employees, quality control employees, guards and supervisor.",,,
