Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 21, Los Angeles, California",21-RC-207621,"Newport Meat Southern California, Inc.",Closed,10/10/2017,05/19/2021,"Certification of Results",Irvine,CA,A,"Single Labor Organization",Initial,05/11/2021,52,1,"General Truck Drivers, Office, Food and Wrehouse, Local Union 952, a/w International Brotherhood of Teamsters",19,,,,,24,43,,1,,,"Included: All full-time and regular part-time processing and warehouse employees including outbound selectors, meat cutters, meat packers, maintenance technicians, receivers, sanitation workers, and portion coordinators employed by the Employer at its facility currently located at 16691 Hale Avenue, Irvine, California 92606.

Excluded: All other employees, office clerical employees, professional employees, managerial employees, guards, and supervisors, as defined in the Act.",,,
"Region 02, New York, New York",02-RD-191760,"KIPP Academy Charter School",Closed,01/25/2017,05/03/2021,"Certific. of Representative","New York",NY,A,"Single Labor Organization",Initial,04/19/2021,77,4,"United Federation of Teachers, Local 2",48,,,,,7,55,,7,,"United Federation of Teachers, Local 2","Included: All full-time and regular part-time teachers, counselors, social workers, team leaders, and specialists employed by the Employer at its facility located in the Bronx, New York. 

Excluded: All other employees, including substitute teachers, clerical, maintenance, supervisors, managers, and guards, within the meaning of the Act.",,,
"Region 32, Oakland, California",32-RC-195489,"UAG STEVENS CREEK II, INC. d/b/a AUDI OF STEVENS CREEK",Closed,03/24/2017,04/21/2017,"Certific. of Representative","San Jose",CA,A,"Single Labor Organization",Initial,04/13/2021,13,,"MACHINISTS AUTOMOTIVE TRADES LOCAL 1101, DISTRICT LODGE 190",8,,,,,2,10,,2,,"MACHINISTS AUTOMOTIVE TRADES LOCAL 1101, DISTRICT LODGE 190","All full-time and regular part-time service advisors employed by the Employer at its facility located at 3350 Stevens Creek Blvd., San Jose, CA; excluding employees represented by a labor organization, sales employees, confidential employees, office clerical employees, guards, and supervisors as defined in the Act.

Others permitted to vote: The parties have agreed that Assistant Service Managers may vote in the election but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",,,
"Region 15, New Orleans, Louisiana",15-RC-204708,"Valmet, Inc.",Closed,08/21/2017,05/09/2019,"Certific. of Representative",Columbus,MS,A,"Single Labor Organization",Rerun,05/01/2019,71,1,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",35,,,,,33,68,,,,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC","Included: All full-time and regular part-time production and maintenance employees at the employer’s Columbus, Mississippi facility
Excluded: Supervisors, managers, office clericals, professional employees and guards as defined by the Act.",,,
"Region 15, New Orleans, Louisiana",15-RD-207080,"Skyline Steel, LLC",Closed,09/28/2017,02/01/2019,"Certification of Results",Iuka,MS,A,"Single Labor Organization",Initial,01/25/2019,46,,"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL WORKERS",30,,,,,16,46,,,,,"INCLUDED: All full-time and regular part-time production and maintenance employees, including quality assurance employees, leadmen, yard employees, safety coordinator(s), stock/parts room employee(s), and shipping and receiving employees employed by Skyline Steel, LLC at its luka, Mississippi facility.

EXCLUDED: All office clerical and technical employees, professional employees, temporary employees, confidential employees, guards and supervisors as defined in the Act.",,,
"Region 22, Newark, New Jersey",22-RC-206585,"LIFETIME BRANDS, INC.",Closed,09/19/2017,01/28/2019,"Certification of Results",Robbinsville,NJ,A,"Single Labor Organization",Initial,01/17/2019,156,,"Local 947, The International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers and Helpers (IBBIS)",32,,,,,105,137,,5,,,"Included: All full-time and regular part-time employees of Lifetime Brands, Inc., working at 12 Applegate Drive, Robbinsville, NJ 08691 in the following job classifications,
within the specified job departments: Clerk (Inventory Control and Quality
Control), Cycle Counter (Inventory Control), General Maintenance Mechanic
(Maintenance), Inspector (Quality Control), Janitor (Maintenance), Lead
(Inventory Control and Maintenance), Maintenance Helper (Maintenance),
Material Handler I, II, and III (Direct Mail, Inventory Operations, Order
Management, Palletization, Piece Pick, Production, Receiving, Receiving Putaway
and Shipping), Sr. Warehouse Worker (Direct Mail, Divert Palletization, Order
Management, Production, and Tower), Warehouse Clerk (Customer Returns,
Direct Mail, Inventory Operations, Order Management, Palletization, Piece Pick,
Production, and Ticketing), Warehouse Coordinator (Inventory Operations, Order
Management, Piece Pick, Production, Receiving, Shipping, and Ticketing),
Warehouse Worker (Direct Mail, Divert Palletization, Piece Pick, Production,
Ticketing, and Receiving), and Yard Jockey (Shipping and Receiving).

Excluded:  All Other Employees, Customer Service Employees, Office Clericals,
Managers, and Section 2(11) Supervisors and Guards within the meaning of the
National Labor Relations Act.
",,,
"Region 06, Pittsburgh, Pennsylvania",06-RC-198567,"VT Hackney, Inc.",Closed,05/11/2017,01/11/2019,"Certification of Results",Montgomery,PA,A,"Single Labor Organization",Rerun,01/03/2019,230,,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO",101,,,,,108,209,,,,,"All full-time and regular part-time production, maintenance, shipping and receiving, and quality control employees, including welders, assemblers, fabricators, material handlers, electricians, tool and die employees, team leaders,  warehouse coordinator, maintenance coordinator and production coordinators employed at the Employer's Montgomery, Pennsylvania, facility; excluding all office clerical employees and guards, professional employees and supervisors as defined by the Act.",,,
"Region 15, New Orleans, Louisiana",15-RD-198159,"Lamb Weston Holdings, Inc.",Closed,05/04/2017,12/31/2018,"Certification of Results",Delhi,LA,A,"Single Labor Organization",Rerun,12/18/2018,166,,"United Food and Commercial Workers Union Local No. 455",54,,,,,96,150,,1,,,"The Unit includes all full-time and regular part-time production employees, including general utility employees, general utility coordinators, warehouse coordinators, sanitation workers, sanitation specialists, raw product receivers (receiving & sizing operators), raw product evaluators and raw product graders (raw product evaluators), forklift operators, packaging utility employees, manifestor employees, quality assurance techs, palletizer operators, packaging operators and process operators (process operator specialist 1 & 2), transload operators (Ag Warehouse Attendant and Hylift Forklift Specialist), groundskeepers (utility field), inventory specialists, janitors, knife room specialists, and quality assurance specialists (and safety coordinator) employed by the Employer at the Employer's sweet potato processing facilities located at 77 Highway 609, Delhi, Louisiana 71232 and 11985 Highway 17, Oak Grove, Louisiana 71263.
Excluded: All other employees, including temporary employees, truck drivers, fleet operations coordinators, fleet operations specialists, scale attendants, clerks, store room attendants, wastewater operators, wastewater specialist, maintenance and mechanical employees, office clerical employees, professional employees, guards and supervisors.",,,
"Region 06, Pittsburgh, Pennsylvania",06-RC-198567,"VT Hackney, Inc.",Closed,05/11/2017,01/11/2019,"Certification of Results",Montgomery,PA,A,"Single Labor Organization",Rerun,12/13/2018,230,,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO",91,,,,,98,210,,21,Y,,"All full-time and regular part-time production, maintenance, shipping and receiving, and quality control employees, including welders, assemblers, fabricators, material handlers, electricians, tool and die employees, team leaders,  warehouse coordinator, maintenance coordinator and production coordinators employed at the Employer's Montgomery, Pennsylvania, facility; excluding all office clerical employees and guards, professional employees and supervisors as defined by the Act.",,,
"Region 32, Oakland, California",32-RC-208146,"Yosemite Express Co., dba Smart Refrigerated Transport, a Subsidiary of Save Mart Supermarkets, Inc.",Closed,10/17/2017,06/07/2019,"Withdrawal Non-adjusted",Lathrop,CA,A,"Single Labor Organization",Rerun,11/30/2018,110,1,"General Teamsters Local 439",45,,,,,54,99,,1,,,"All full-time and regular part-time drivers employed by the Employer at its facility located at 16888 McKinley Ave, Lathrop, California; excluding all other employees represented by a labor organization, dispatchers, subcontracted drivers, office clerical employees, guards, and supervisors as defined in the Act.",,,
