Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 13, Chicago, Illinois",13-RC-281169,"Spike Enterprise, Inc.",Closed,08/11/2021,11/15/2024,"Dismissal Non-adjusted","Channahon (Township)",IL,A,"Revised Single Labor Org",Initial,11/04/2024,23,,"International Union of Operating Engineers, Local 150, AFL-CIO",7,,,,,14,21,,,,,"Included:  All full-time and regular part-time operators, techs, and laborers employed by the Employer at the following locations: Citgo Petroleum located at 135th Street & New Avenue in Lemont, Illinois 60439; Exxon-Mobil, Arsenal Rd & I-55, Channahon, Illinois 60410; and Citgo Petroleum 12815 South Homan, Blue Island, Illinois 60406.

Excluded:   All salaried managers, temporary employees, other contracted employees, office clerical employees, confidential employees, professional employees, guards, and supervisors as defined in the Act.
",,,
"Region 28, Phoenix, Arizona",28-RC-285574,"Akima Global Services, LLC",Closed,10/26/2021,08/27/2024,"Certific. of Representative",Florence,AZ,A,"Two Labor Organizations",Rerun,08/13/2024,299,8,"United Government Security Officers of America International Union, & Its Local 823 (UGSOA)",84,"International Union, Security, Police & Fire Professionals of America (SPFPA)",6,,,3,93,,3,,"United Government Security Officers of America International Union, & Its Local 823 (UGSOA)","Included: All full-time and regular part-time detention officers, armed detention officers, and armed transportation officers performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, employed by the Employer at the ICE Detention Center in Florence, Arizona, under contract to the United States Immigration and Customs Enforcement, Contract # 70CDCR20D00000004.
. 
Excluded: All other employees, office clerical employees, professional employees, managers and supervisors as defined in the Act.
",,,
"Region 13, Chicago, Illinois",13-RC-274653,"Astound Broadband",Closed,03/25/2021,02/01/2024,"Certification of Results",Warrenville,IL,A,"Single Labor Organization",Rerun,01/23/2024,19,1,"International Brotherhood of Electrical Workers Local Union 21",5,,,,,13,18,,,,,"Included: All full-time and regular part-time Field Service Technicians; Field Service Technicians – Leads; Field Service Technician – Commercial; Field Service Technicians – Commercial Lead; Warehouse Operations Specialists; Warehouse Operations Specialists – Lead; System Technicians; Locators; Network Assurance Technicians; Product Assurance Technicians; Product Assurance Technicians—Lead; System Technicians—Fiber; Construction Project Coordinators; and Customer Service Support Specialists employed by the Employer at its facilities currently located at 4350 Weaver Parkway, Warrenville, Illinois 60555; 1130 Carolina Dr., West Chicago, Illinois 60185; and 1401 Huntington Court, Calumet City, Illinois 60409.

Excluded:  All Administration employees, Care Administration employees, Commercial Sales employees, Information Technology employees, IT Emerging User Technologies employees, Residential Call Center Sales employees, Service Delivery employees, Commercial Sales employees, Corporate Finance employees, Corporate Legal employees, Project Management Operations employees, Human Resources and Talent Acquisition employees, MDU Sales employees, office clerical employees, confidential employees, professional employees, managerial employees, and guards and supervisors as defined by the Act.
","West Chicago
Included:  All full-time and regular part-time Broadband Technicians I, Broadband Technicians II, Broadband Technicians III, Broadband Technician Leads, Broadband Network Technicians I, Broadband Network Technicians II, Broadband Network Technicians III, Warehouse Technicians I, Warehouse Technicians II, Warehouse Technician Leads, Commercial Network Technicians employed by Astound Broadband out of its facility currently located at 1130 Carolina Drive, West Chicago, Illinois.

Excluded:  All other employees, confidential employees, office clerical employees, and guards, and professional employees and supervisors as defined in the Act.
Others Permitted to Vote:  At this time, no decision has been made regarding the eligibility of employees in the following classification:  Broadband Technician Lead. Since no decision has been made regarding whether this classification is included in, or excluded from, the bargaining unit, I have determined that individuals in this classification may vote in the election but their ballots shall be challenged since their eligibility has not been resolved. The eligibility of individuals in this classification may be resolved, if necessary, following the election.
","Crestwood
Included:  All full-time and regular part-time Broadband Technicians I, Broadband Technicians II, Broadband Technicians III, Broadband Technician Leads, Broadband Network Technicians I, Broadband Network Technicians II, Broadband Network Technicians III, Warehouse Technicians I, Warehouse Technicians II, Warehouse Technician Leads, Commercial Network Technicians employed by Astound Broadband out of its facility currently located at 13508 South Kenton Avenue, Crestwood, Illinois.

Excluded:  All other employees, confidential employees, office clerical employees, and guards, and professional employees and supervisors as defined in the Act.
Others Permitted to Vote:  At this time, no decision has been made regarding the eligibility of employees in the following classification:  Broadband Technician Lead. Since no decision has been made regarding whether this classification is included in, or excluded from, the bargaining unit, I have determined that individuals in this classification may vote in the election, but their ballots shall be challenged since their eligibility has not been resolved. The eligibility of individuals in this classification may be resolved, if necessary, following the election.
",
"Region 13, Chicago, Illinois",13-RC-274653,"Astound Broadband",Closed,03/25/2021,02/01/2024,"Certification of Results",Warrenville,IL,B,"Single Labor Organization",Rerun,01/23/2024,13,,"International Brotherhood of Electrical Workers Local Union 21",4,,,,,8,12,,,,,"Included: All full-time and regular part-time Field Service Technicians; Field Service Technicians – Leads; Field Service Technician – Commercial; Field Service Technicians – Commercial Lead; Warehouse Operations Specialists; Warehouse Operations Specialists – Lead; System Technicians; Locators; Network Assurance Technicians; Product Assurance Technicians; Product Assurance Technicians—Lead; System Technicians—Fiber; Construction Project Coordinators; and Customer Service Support Specialists employed by the Employer at its facilities currently located at 4350 Weaver Parkway, Warrenville, Illinois 60555; 1130 Carolina Dr., West Chicago, Illinois 60185; and 1401 Huntington Court, Calumet City, Illinois 60409.

Excluded:  All Administration employees, Care Administration employees, Commercial Sales employees, Information Technology employees, IT Emerging User Technologies employees, Residential Call Center Sales employees, Service Delivery employees, Commercial Sales employees, Corporate Finance employees, Corporate Legal employees, Project Management Operations employees, Human Resources and Talent Acquisition employees, MDU Sales employees, office clerical employees, confidential employees, professional employees, managerial employees, and guards and supervisors as defined by the Act.
","West Chicago
Included:  All full-time and regular part-time Broadband Technicians I, Broadband Technicians II, Broadband Technicians III, Broadband Technician Leads, Broadband Network Technicians I, Broadband Network Technicians II, Broadband Network Technicians III, Warehouse Technicians I, Warehouse Technicians II, Warehouse Technician Leads, Commercial Network Technicians employed by Astound Broadband out of its facility currently located at 1130 Carolina Drive, West Chicago, Illinois.

Excluded:  All other employees, confidential employees, office clerical employees, and guards, and professional employees and supervisors as defined in the Act.
Others Permitted to Vote:  At this time, no decision has been made regarding the eligibility of employees in the following classification:  Broadband Technician Lead. Since no decision has been made regarding whether this classification is included in, or excluded from, the bargaining unit, I have determined that individuals in this classification may vote in the election but their ballots shall be challenged since their eligibility has not been resolved. The eligibility of individuals in this classification may be resolved, if necessary, following the election.
","Crestwood
Included:  All full-time and regular part-time Broadband Technicians I, Broadband Technicians II, Broadband Technicians III, Broadband Technician Leads, Broadband Network Technicians I, Broadband Network Technicians II, Broadband Network Technicians III, Warehouse Technicians I, Warehouse Technicians II, Warehouse Technician Leads, Commercial Network Technicians employed by Astound Broadband out of its facility currently located at 13508 South Kenton Avenue, Crestwood, Illinois.

Excluded:  All other employees, confidential employees, office clerical employees, and guards, and professional employees and supervisors as defined in the Act.
Others Permitted to Vote:  At this time, no decision has been made regarding the eligibility of employees in the following classification:  Broadband Technician Lead. Since no decision has been made regarding whether this classification is included in, or excluded from, the bargaining unit, I have determined that individuals in this classification may vote in the election, but their ballots shall be challenged since their eligibility has not been resolved. The eligibility of individuals in this classification may be resolved, if necessary, following the election.
",
"Region 27, Denver, Colorado",27-RC-283492,"Staker & Parson Companies d/b/a Jack B. Parson Ready Mix Concrete",Closed,09/24/2021,09/26/2023,"Certific. of Representative",Draper,UT,A,"Single Labor Organization",Rerun,09/15/2023,241,5,"Independent Union of Concrete Handlers, Drivers and Operators (IUCH)",108,,,,,57,167,,2,,"Independent Union of Concrete Handlers, Drivers and Operators (IUCH)","Include: All full-time and regular part-time Ready Mix Drivers employed by the Employer in (1) the following counties in Utah: Utah, Wasatch, Summit, Salt Lake, Tooele, Davis, Weber, Box Elder, and Cache, and (2) the following counties in Idaho: Bear Lake and Caribou. Exclude: All non-ready mix drivers, office clerical employees, managerial employees, professional employees guards, and Supervisors, as defined by the Act.",,,
"Region 02, New York, New York",02-RD-280014,"Mount Kisco Country Club",Closed,07/16/2021,08/21/2023,"Certification of Results","Mount Kisco",NY,A,"Revised Single Labor Org",Initial,08/11/2023,9,,"Local 342 ucfw",4,,,,,4,8,,2,,,"Included: All full-time and regular part-time groundskeepers employed by the Employer at 10 Taylor Road, Mount Kisco, NY.

Excluded: All other employees, including kitchen, dining (waiters/waitresses & bartenders), maintenance, pro shop, salespersons, directors, guards, and professional employees, and supervisors as defined in the Act.


",,,
"Region 28, Phoenix, Arizona",28-RC-285574,"Akima Global Services, LLC",Closed,10/26/2021,08/27/2024,"Certific. of Representative",Florence,AZ,A,"Two Labor Organizations",Rerun,05/05/2023,276,10,"United Government Security Officers of America International Union, & Its Local 823 (UGSOA)",89,"International Union, Security, Police & Fire Professionals of America (SPFPA)",6,,,3,98,,,,"United Government Security Officers of America International Union, & Its Local 823 (UGSOA)","Included: All full-time and regular part-time detention officers, armed detention officers, and armed transportation officers performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, employed by the Employer at the ICE Detention Center in Florence, Arizona, under contract to the United States Immigration and Customs Enforcement, Contract # 70CDCR20D00000004.
. 
Excluded: All other employees, office clerical employees, professional employees, managers and supervisors as defined in the Act.
",,,
"Region 19, Seattle, Washington",19-RC-287149,"Safeway, Inc.",Closed,12/02/2021,05/10/2023,"Certification of Results",Longview,WA,A,"Single Labor Organization",Initial,05/02/2023,6,,"United Food and Commercial Workers, Local 555",,,,,,5,5,,,,,"INCLUDED: All full-time and regular part-time pharmacy technicians employed by Safeway, Inc. at its Store #91, located at 1227 15th Avenue, Longview, Washington.
EXCLUDED: All other employees, pharmacists, pharmacy managers, interns, confidential employees, office clerical employees, and guards and supervisors as defined in the Act. 
",,,
"Region 19, Seattle, Washington",19-RC-287294,"Safeway, Inc.",Closed,12/06/2021,05/09/2023,"Certification of Results","Cottage Grove",OR,A,"Single Labor Organization",Initial,05/01/2023,4,,"United Food and Commercial Workers, Local 555",1,,,,,2,3,,,,,"INCLUDED: All full-time and regular part-time pharmacy technicians and pharmacy clerks employed by Safeway, Inc. at its Store #1458, located at 1500 E. Main Street, Cottage Grove, Oregon.
EXCLUDED: All other employees, pharmacists, pharmacy managers, interns, confidential employees, office clerical employees, and guards and supervisors as defined in the Act. 
",,,
"Region 19, Seattle, Washington",19-RC-287293,"Albertsons LLC",Closed,12/06/2021,05/08/2023,"Certification of Results","Klamath Falls",OR,A,"Single Labor Organization",Initial,04/28/2023,11,,"United Food and Commercial Workers, Local 555",1,,,,,4,5,,2,,,"INCLUDED: All full-time and regular part-time pharmacy technicians and pharmacy clerks employed by Albertsons LLC at its Store #577, located at 5500 S. 6th Street, Klamath Falls, Oregon.
EXCLUDED: All other employees, pharmacists, pharmacy managers, interns, confidential employees, office clerical employees, and guards and supervisors as defined in the Act. 
",,,
