Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 06, Pittsburgh, Pennsylvania",06-RC-322382,"Humane Animal Rescue d/b/a Humane Animal Rescue of Pittsburgh",Closed,07/24/2023,06/29/2026,"Certific. of Representative",Pittsburgh,PA,A,"Single Labor Organization",Initial,06/18/2026,91,,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO/CLC",43,,,,,41,84,,,,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO/CLC","Including all full-time and regular part-time employees employed by the Employer at its 1101 Western Avenue; 6926 Hamilton Avenue; and 6000 Verona Road, Pennsylvania locations, but excluding Janitors, Humane Investigations Officers, Summer Seasonal employees; Managerial employees; Business and Financial Specialists, Special Events Coordinators, Digital Media Specialists, Guards, Confidential, Temporary and Casual employees, Professional employees and Supervisors as defined by the Act.",,,
"Region 16, Fort Worth, Texas",16-RM-332237,"Stratus Systems, LLC",Closed,12/20/2023,05/11/2026,"Certific. of Representative",Dallas,TX,A,"Single Labor Organization",Rerun,05/01/2026,89,,"Sheet Metal Workers International Association Local Union No.68",43,,,,,27,70,,,,"Sheet Metal Workers International Association Local Union No.68","INCLUDED: All full-time and regular part-time Exhaust Mechanics and Exhaust Helpers employed by the Employer.

EXCLUDED: All other employees, Truck Drivers, Warehouse Employees, Office Clerical Employees, Professional Employees, Guards and Supervisors, as defined in the Act.
",,,
"Region 01, Boston, Massachusetts",01-RC-318449,"North Shore Mechanical Contractors, LLC",Closed,05/19/2023,04/01/2026,"Certification of Results",Wilmington,MA,A,"Single Labor Organization",Rerun,04/24/2026,37,,"Plumbers and Gas Fitters Local 12",4,,,,,30,37,,3,,"Plumbers and Gas Fitters Local 12","All full-time and regular part-time plumbers, apprentices, and laborers, employed
by the Employer at its Wilmington, MA facility; but excluding co-op student
laborers, managers, office clerical employees, all other employees, and guards,
professional employees and supervisors as defined in the Act.
",,,
"Region 09, Cincinnati, Ohio",09-RC-328464,"PATRIOT PLUMBING, LLC",Open,10/24/2023,,,Winchester,KY,A,"Single Labor Organization",Rerun,04/13/2026,18,,"United Association of Journeyman & Apprentices of the Plumbing & Pipe Fitting Industry of the U.S. & Canada, AFL-CIO, Local 452",,,,,,9,9,,7,,,"All full-time and regular part-time plumbers, plumbers helpers, operators, and shop employees employed by the Employer out of its facilities located at 6095 Mt. Sterling Road, Winchester, Kentucky; but excluding all other employees, office clerical employees, guards, managerial employees, and supervisors as defined by the Act. 	",,,
"Region 22, Newark, New Jersey",22-RC-328463,"Precision Escalator Products, Inc.",Closed,10/23/2023,02/06/2026,"Certification of Results",Kenilworth,NJ,A,"Single Labor Organization",Rerun,12/18/2025,79,1,"International Association of Machinists and Aerospace Workers District 15, Local 447",34,,,,,37,71,,1,,,"INCLUDED: All full-time and regular part-time Assemblers, Washers, Grinders, Painters, Inspectors, Sandblasters, Welders, Shipping/Receiving Employees, Maintenance Employees, Motor Shop Mechanics, Fabrication Mechanics, Machinists, Drivers, Technicians and Toolmakers employed by the Employer at its 147 North Michigan Avenue, Kenilworth, New Jersey location.
EXCLUDED: All office clerical employees, guards and supervisors as defined in the Act, and all other employees.",,,
"Region 19, Seattle, Washington",19-RC-315803,"Recreational Equipment, Inc.",Open,04/10/2023,,,Eugene,OR,A,"Revised Single Labor Org",Initial,08/08/2025,50,,"United Food and Commercial Workers Union Local 555",20,,,,,26,46,,1,,,"INCLUDED: All full-time and regular part-time employees employed by the Employer at its Eugene, OR facility, including Retail Sales Specialists, Shop Mechanics Bike & Snow, and Shipping Receiving Specialists.

EXCLUDED: All professional employees, and guards and supervisors as defined by the Act. 
",,,
"Region 13, Chicago, Illinois",13-RC-322799,"Graphic Packaging International, LLC",Closed,07/31/2023,06/17/2025,"Certific. of Representative","Carol Stream",IL,A,"Two Labor Organizations",Rerun,05/15/2025,202,,"Teamsters Local Union No. 673",124,"Printing, Packaging and Production Workers of North America Local 415-S",39,,,19,182,,3,,"Teamsters Local Union No. 673","Included: All factory employees, including production employees, window washers, janitors and janitresses employed at the Company's 400 East North Avenue, Carol Stream, Illinois plant.

Excluded: All other employees of the maintenance department, all office and clerical employees, power plant employees, and professional employees, guards and supervisors as defined in Act.",,,
"Region 05, Baltimore, Maryland",05-RC-329047,"Global Executive Staffing, LLC",Open,10/31/2023,,,Baltimore,MD,A,"Single Labor Organization",Rerun,05/14/2025,13,,"Amalgamated Transit Union Local 1764 a/w Amalgamated Transit Union AFL-CIO/CLC",,,,,,1,1,,,,,"All full-time and regular part-time utility workers and dispatchers employed by the Employer at the facilities currently located at 1615 Bush St., Baltimore, MD 21230, and 19 Thomas Ave., Brooklyn, MD 21225, but excluding all other employees, managers, guards, and supervisors as defined in the Act.",,,
"Region 22, Newark, New Jersey",22-RC-320562,"A-V SERVICES, INC.",Open,06/23/2023,,,Fairfield,NJ,A,"Revised Single Labor Org",Initial,05/09/2025,6,,"INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES, LOCAL 59,, AFL-CIO",3,,,,,3,6,,,,,"INCLUDED:  	All full-time Audio-Visual Technicians employed by the Employer at its 575 Washington Boulevard, Floor 3; 545 Washington Boulevard; and 480 Washington Boulevard, Jersey City, New Jersey locations.  
EXCLUDED:  	All other employees, including office clerical employees and guards, and professional employees and supervisors as defined in the Act
",,,
"Region 05, Baltimore, Maryland",05-RM-328114,"Pro Choice Virginia d/b/a REPRO Rising Virginia",Closed,10/17/2023,05/13/2025,"Certific. of Representative",Alexandria,VA,A,"Single Labor Organization",Initial,05/05/2025,3,,"REPRO Rising Union",2,,,,,,2,,,,"REPRO Rising Union","Included: All full-time and regular part-time employees employed by the Employer.

Excluded: All directors, fellows, managerial employees, confidential employees, temporary employees, guards and supervisors as defined in the Act.
",,,
