Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 07, Detroit, Michigan",07-RC-349280,"Action Plumbing & Heating Inc.",Open,08/23/2024,,,Clio,MI,A,"Single Labor Organization",Rerun,07/29/2026,10,,"Local 370, Plumbers Pipefitters, Welders and Service Trades",3,,,,,2,5,,,,"Local 370, Plumbers Pipefitters, Welders and Service Trades","All full-time and regular part-time plumbers, HVAC-R service technicians, and apprentices employed by the Employer at or out of its facility located at 941 Tacoma Court, Clio, Michigan; but excluding all office clerical employees, professional employees, and guards and supervisors as defined in the Act, and all other employees.",,,
"Region 13, Chicago, Illinois",13-RC-339478,"Trader Joe's East Inc.",Closed,04/08/2024,07/16/2026,"Certific. of Representative",Chicago,IL,A,"Single Labor Organization",Initial,07/08/2026,154,,"Trader Joe’s United",71,,,,,70,141,,,,"Trader Joe’s United","Included: All full-time and regular part-time Crew Members and Merchants employed by the Employer at its facility currently located at 3745 N. Lincoln Avenue, Chicago, IL.

Excluded: All mates, captains, office clerical employees, confidential employees, managerial employees, professional employees, guards and supervisors as defined by the Act.",,,
"Region 27, Denver, Colorado",27-RC-346403,"HCA-HealthONE LLC, d/b/a Swedish Medical Center",Open,07/17/2024,,,Englewood,CO,A,"Single Labor Organization",Rerun,07/02/2026,755,,"National Nurses Organizing Committee/National Nurses United (NNOC/NNU) affiliated with American Federation of Labor-Congress of Industrial Organizations, AFL-CIO",307,,,,,275,608,,26,,"National Nurses Organizing Committee/National Nurses United (NNOC/NNU) affiliated with American Federation of Labor-Congress of Industrial Organizations, AFL-CIO","Included: All full-time, regular part-time, and per diem ¹ registered nurses employed by the 
Employer at its acute-care facilities located at 501 East Hampden Ave, Englewood, CO 80113; 6196 South Ammons Way, Littleton, CO 80123; and 260 South Wadsworth Blvd, Lakewood CO 80226.

Excluded:  Physicians;  non-OR  Clinical  Nurse  Specialists;  Clinical  Nurse Coordinators; Nurse  
Practitioners; Certified  Registered  Nurse  Anesthetists; Nurse and/or Clinical  Educators or 
Coordinators; Case Managers; Utilization Review  and/or  Discharge  Planners;  Accounting  or  
Auditing  RNs;  Nurse Navigators;  Permanent  Charge  Nurses; Infection  Control/Employee  Health 
Nurses; Risk Management, Performance Improvement and/or Quality Assurance or Quality Management 
Nurses; Resident Nurse 1 Graduate Nurse; registered nurses employed by registries or other agencies 
providing outside labor to the Employer; limited duration contract nurses; already represented 
employees; nurse administrators; business office and/or clerical employees;  managerial employees; 
temporary employees; and confidential employees, guards, and supervisors within the meaning of the 
Act, and all other employees.

1 In order to be eligible to vote, employees must have worked an average of 4 hours per week in the 
13 weeks prior to the payroll period ending date.
",,,
"Region 22, Newark, New Jersey",22-RD-351155,"Green Thumb Industries, Inc. d/b/a GTI New Jersey, LLC",Closed,09/24/2024,07/14/2026,"Certification of Results",Hackettstown,NJ,A,"Single Labor Organization",Initial,06/29/2026,269,,"UNITED FOOD AND COMMERCIAL WORKERS, LOCAL 360",13,,,,,94,107,,74,,,"INCLUDED:  	All retail, production, and cultivation employees employed by the Employer at its 105 Bilby Road, Hackettstown; 30 Lowe Street, Paterson; 196 3rd Ave, #3C, Paterson; and 26-48 Bloomfield Ave, Bloomfield, New Jersey facilities.
EXCLUDED:  	All office clerical employees, managers, guards, professional employees and supervisors as defined in the Act and all other employees
",,,
"Region 02, New York, New York",02-RC-333871,"Universal Protection Service, LLC d/b/a Allied Universal Security Services",Closed,01/19/2024,07/09/2026,"Certification of Results",Tarrytown,NY,A,"Single Labor Organization",Initial,06/29/2026,79,2,"Federal Contract Guards of America (FCGOA)",6,,,,,8,14,,,,,"Including:

All Security Professionals, Global Security Operations Command (GSOCs), EMTs, and Supervisors employed by the Employer at the Regeneron sites located at 777 Old Saw Mill River Road, Tarrytown, NY 10591; 1 Rockwood Road, Sleepy Hollow, New York, 10591; 175 King Street, Armonk,  New York 10504; and 3 Skyline Drive, Hawthorne, New York 10532.

Excluding 
All non-guards, clerical, professional, and confidential employees, managers, and supervisors within the meaning of Section 2(11) of the Act. 
",,,
"Region 06, Pittsburgh, Pennsylvania",06-RC-348053,"CertaSite, LLC",Closed,08/09/2024,07/01/2026,"Certification of Results",Greensburg,PA,A,"Single Labor Organization",Rerun,06/23/2026,9,,"Road Sprinkler Fitters Local Union 669 a/w United Association of Journeymen and Apprentices of the Plumber and Pipefitting Industry of the United States and Canada",,,,,,7,,,,,,"All full-time and regular part-time Sprinkler Installation Technicians, Sprinkler Installation Apprentices, and Sprinkler Installation Field Supervisors employed by CertaSite at its facility located at 210 West Drive, Suite A, Greensburg, PA 15601; Excluding all office clerical employees, Sprinkler Fitter service technicians, managerial employees, confidential employees, and guards, and professional employees and supervisors as defined by the Act.",,,
"Region 02, New York, New York",02-RC-351933,"A+E Factual Productions, LLC",Closed,10/02/2024,07/15/2026,"Certific. of Representative","New York",NY,A,"Single Labor Organization",Initial,06/10/2026,146,3,"Writers Guild of America, East",69,,,,,13,85,,4,,"Writers Guild of America, East","Included: 
All employees in the Associate, Lead, Junior, and Senior classifications with the following titles: Producers, Archival/Archive Producers, Booking Producers, Casting Producers, Challenge Producers, Coordinating Producers, Field Producers, Research Producers, Story Producers, Post Producers, Post Archival/Archive Producers, and Segment Producers who perform work for the Employer.
Excluded: 
All other employees, in-house production staff, managers, confidential employees, guards, and supervisors as defined in the Act.",,,
"Region 19, Seattle, Washington",19-RC-346797,"Market Equipment & Refrigeration LLC",Closed,07/23/2024,06/18/2026,"Certification of Results",Spokane,WA,A,"Revised Single Labor Org",Initial,06/10/2026,26,,"Plumbers and Steamfitters Local 44 affiliated with United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the U.S. and Canada AFL-CIO",7,,,,,19,26,,,,,"All full-time and regular part-time Refrigeration Service Technicians, Refrigeration Service Leads, Refrigeration Installation Technicians, Refrigeration Installation Foremen, Refrigeration Preventive Maintenance Technicians, and Refrigeration Preventive Maintenance Managers employed by the Employer working out of its Spokane, Washington facility; excluding all other employees, guards and supervisors as defined by the Act. 
",,,
"Region 01, Boston, Massachusetts",01-RC-347432,"SecTek, Inc.",Closed,08/02/2024,06/22/2026,"Certific. of Representative",Merrimack,NH,A,"Two Labor Organizations",Initial,06/09/2026,18,,"United Federation LEOS-PBA",8,"INTERNATIONAL UNION, SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA (SPFPA)",2,,,,10,,,,"United Federation LEOS-PBA","Included: All full-time and regular part-time armed or unarmed security officers
performing guard duties as defined in Section 9(b)(3) of the Act employed by the
Employer at its Boston Consolidated TRACON in Merrimack, New Hampshire and
ARTCC in Nashua, New Hampshire.

Excluded: All office clerical employees, confidential employees, managers,
professional employees, and supervisors as defined in the Act.
",,,
"Region 19, Seattle, Washington",19-RC-356583,"BrandSafway, LLC",Closed,12/12/2024,06/12/2026,"Certific. of Representative",Anacortes,WA,A,"Revised Single Labor Org",Initial,06/04/2026,17,,"International Association of Heat & Frost Insulators & Allied Workers Local No. 7",11,,,,,8,19,,1,,"International Association of Heat & Frost Insulators & Allied Workers Local No. 7","All full-time and regular part-time employees employed by the Employer engaged in performing insulation at HF Sinclar Puget Sound Refinery, located at 12293 Bartholomew Rd., Anacortes, WA 98221; excluding all other employees, managers, supervisors, clerical employees, and guards, as defined by the Act.",,,
