Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 22, Newark, New Jersey",04-RC-109516,"ManorCare of Kingston PA, LLC",Closed,07/19/2013,12/27/2016,"Certification of Results",Kingston,PA,A,"Single Labor Organization",Rerun,12/15/2016,44,,"Laborers International Union of North America Local 1310",18,,,,,19,37,,,,,"INCLUDED:  All full-time and regular part-time CNAs (who worked an average of four or more hours per week during the 13 weeks preceding July 23, 2013) employed by the Employer at its 200 Second Avenue, Kingston, Pennsylvania facility.

EXCLUDED:  All other employees, LPNs, RNs, maintenance employees, office clerical employees, guards and supervisors as defined in the Act.",,,
"Region 28, Phoenix, Arizona",28-RC-106979,"AAA Transportation/Yellow Cab",Closed,06/11/2013,10/03/2016,"Certification of Results",Tucson,AZ,A,"Single Labor Organization",Initial,07/13/2016,89,,"TUCSON HACKS ASSOCIATION",20,,,,,69,89,,,,"TUCSON HACKS ASSOCIATION","Included:  All full-time and regular part-time taxicab drivers employed by the Employer at its facility in Tucson, Arizona.

Excluded: Excluding all other employees, MedEx drivers, limousine and Town Car drivers, cashiers, dispatchers, mechanics, sales and marketing employees, training coordinators, confidential and office clerical employees, guards, managers, and supervisors as defined in the Act.",,,
"Region 09, Cincinnati, Ohio",09-RC-111362,"CATERPILLAR LOGISTICS INC.",Closed,08/16/2013,03/10/2016,"Certification of Results",CLAYTON,OH,A,"Single Labor Organization",Rerun,03/02/2016,494,,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, AFL-CIO",169,,,,,295,464,,,,,"All full-time warehouse associates, warehouse associate team leaders and quality technicians employed at the Employer's facility located at 6611 Hoke Road,Clayton, Ohio, but excluding all management, clerical support personnel, all other employees and all professional employees, guards and supervisors as defined in the Act.",,,
"Region 32, Oakland, California",32-RC-114542,"Children's Hospital and Research Center of Oakland, Inc. d/b/a UCSF Benioff Children's Hospital Oakland",Closed,10/01/2013,03/18/2016,"Certific. of Representative",Oakland,CA,A,"Revised Two Labor Orgs",Initial,01/19/2016,475,1,"National Union of Healthcare Workers - California Nurses Association",153,"SERVICE EMPLOYEES INTERNATIONAL UNION, UNITED HEALTHCARE WORKERS-WEST",145,,,4,302,,,,"National Union of Healthcare Workers - California Nurses Association","All full-time and regular part-time CCSTs, Central Processing Techs I, Central Processing Techs II, Critical Care Support Techs, Dishwashers, Food Service Workers, Stores Clerks, Head Housekeeping Aides, Housekeeping Aides, Functional Hospital Assistants, Linen Workers, LVNs, Patient Care Assistants, Rehabilitation Aides, Ward Clerks, Cooks, Medical Assistants, Clinical Lab Assistants I, Clinical Lab Assistants II, Clinical Lab Assistants III, Research Lab Assistants I, Research Lab Assistants II, Nuclear Med Techs, Sonographer Trainees, Sonographer Technician, Dedicated Lab Sonographers I, Dedicated Lab Sonographers II, ECG/Holter Techs, Lead Neuro Techs, Neuro Techs I, NeuroTechs II, EEG Tech Trainees, RHITs I, RHITs II, Anesthesia Technician, OR Tech Trainees, OR Techs, Respiratory Care Practitioners I, Respiratory Care Practitioners II, RCP Transports, Equipment Technician, Pulmonary Function Techs I , Pulmonary Function Techs II, Pulmonary Function Techs III, Instrumentation Techs II, Dental Assistant, CSI Technician I and II, Sleep Lab Respiratory Therapist; excluding all other employees, guards, and supervisors as defined in the Act.",,,
"Region 19, Seattle, Washington",19-RD-114440,"Concreteman, Inc. and Global Contractors, LLC, a single employer",Closed,09/30/2013,12/14/2015,"Certification of Results",PUYALLUP,WA,A,"Single Labor Organization",Initial,12/04/2015,2,,"OPERATIVE PLASTERERS AND CEMENT MASONS LOCAL 528",,,,,,2,2,,,N,,"All full-time and regular part-time journeyman cement masons and apprentice cement masons employed by the Employer in King, Kitsap, Clallam, Jefferson, Mason, Grays Harbor, Pierce, Snohomish, Skagit, Island, Whatcom, San Juan, Thurston, lewis, Pacific, Wahkiakum and Cowlitz Counties.

All other employees, office clerical employees, professional employees, managerial employees and guards and supervisors as defined in the Act.",,,
"Region 19, Seattle, Washington",19-RD-102200,"First Student, Inc.",Closed,04/08/2013,10/16/2015,"Certific. of Representative",Molalla,OR,A,"Two Labor Organizations",Initial,10/08/2015,36,,"OREGON SCHOOL EMPLOYEES ASSOCIATION",,"Teamsters Western Conference Local #206",22,,,9,31,,,,"Teamsters Western Conference Local #206","Included:  All full-time and regular part-time school bus operators and driver-trainers employed by the Employer at its Molalla, Oregon facility.

Excluded: Managers, technician-in-charge (mechanics), technicians (mechanics), clerical employees, guards and supervisors as defined by the Act.",,,
"Region 32, Oakland, California",32-RC-114542,"Children's Hospital and Research Center of Oakland, Inc. d/b/a UCSF Benioff Children's Hospital Oakland",Closed,10/01/2013,03/18/2016,"Certific. of Representative",Oakland,CA,A,"Two Labor Organizations",Initial,09/21/2015,475,1,"National Union of Healthcare Workers - California Nurses Association",150,"SERVICE EMPLOYEES INTERNATIONAL UNION, UNITED HEALTHCARE WORKERS-WEST",143,,,4,297,,5,Y,,"All full-time and regular part-time CCSTs, Central Processing Techs I, Central Processing Techs II, Critical Care Support Techs, Dishwashers, Food Service Workers, Stores Clerks, Head Housekeeping Aides, Housekeeping Aides, Functional Hospital Assistants, Linen Workers, LVNs, Patient Care Assistants, Rehabilitation Aides, Ward Clerks, Cooks, Medical Assistants, Clinical Lab Assistants I, Clinical Lab Assistants II, Clinical Lab Assistants III, Research Lab Assistants I, Research Lab Assistants II, Nuclear Med Techs, Sonographer Trainees, Sonographer Technician, Dedicated Lab Sonographers I, Dedicated Lab Sonographers II, ECG/Holter Techs, Lead Neuro Techs, Neuro Techs I, NeuroTechs II, EEG Tech Trainees, RHITs I, RHITs II, Anesthesia Technician, OR Tech Trainees, OR Techs, Respiratory Care Practitioners I, Respiratory Care Practitioners II, RCP Transports, Equipment Technician, Pulmonary Function Techs I , Pulmonary Function Techs II, Pulmonary Function Techs III, Instrumentation Techs II, Dental Assistant, CSI Technician I and II, Sleep Lab Respiratory Therapist; excluding all other employees, guards, and supervisors as defined in the Act.",,,
"Region 32, Oakland, California",32-RC-109684,"FRP-II, LLC. d/b/a/ Leadpoint Business Services",Closed,07/22/2013,10/26/2020,"Certific. of Representative",MILPITAS,CA,A,"Single Labor Organization",Initial,09/04/2015,205,2,"SANITARY TRUCK DRIVERS AND HELPERS LOCAL 350, INTERNATIONAL BROTHERHOOD OF TEAMSTERS",73,,,,,17,90,,29,,"SANITARY TRUCK DRIVERS AND HELPERS LOCAL 350, INTERNATIONAL BROTHERHOOD OF TEAMSTERS","All full-time and regular part-time employees employed by FPR-II, LLC, d/b/a Leadpoint Business Services at the facility located at 1601 Dixon Landing Rd., Milpitas California; excluding employees currently covered by collective bargaining agreements, office clerical employees, guards, and supervisors as defined in the Act.",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-113131,"STUDENT TRANSPORTATION OF AMERICA, INC.",Closed,09/11/2013,08/28/2015,"Withdrawal Non-adjusted",Levittown,PA,A,"Revised Single Labor Org",Initial,08/13/2015,64,,"Teamsters Local 115",24,,,,,25,49,,,,,"INCLUDED:  All full-time and regular part-time drivers and mechanics employed by the Employer at its 6403 Creek Road, Levittown, PA facility.

EXCLUDED:  All professional employees, confidential employees, guards, and supervisors as defined in the Act.",,,
"Region 19, Seattle, Washington",19-RC-106498,"COOK INLET TUG & BARGE, INC.",Closed,06/04/2013,07/28/2015,"Certification of Results",ANCHORAGE,AK,A,"Single Labor Organization",Initial,07/20/2015,15,,"Inlandboatmen's Union of the Pacific, International Longshore and Warehouse Union",4,,,,,11,15,,,,"Inlandboatmen's Union of the Pacific, International Longshore and Warehouse Union","All full-time and regular part-time captains and deckhands, including mates and captains in training, employed by the Employer at or out of its Anchorage and Steward, Alaska locations; excluding all other employees, managerial employedes, office clerical employees, guards and supervisors as defined in the Act.",,,
"Region 12, Tampa, Florida",12-RC-113687,"Primeflight Aviation Services, Inc.",Closed,09/18/2013,07/19/2016,"Withdrawal Non-adjusted","San Juan",PR,A,"Single Labor Organization",Initial,06/19/2015,93,1,"Union General de Trabajadores (UGT)",18,,,,,58,82,,6,,,"Included:  All full-time and part-time wheelchair attendants, greeters, team leaders, and employees providing other services to JetBlue Airways at the Employer's facilities at the Luis Munoz Airport in Carolina, Puerto Rico; excluding  all other employees, employees providing services to Southwest Airlines, guards and supervisors as defined in the Act.",,,
"Region 28, Phoenix, Arizona",28-RD-107275,"American Medical Response Ambulance Service, Inc.",Closed,06/14/2013,06/22/2015,"Certification of Results","Las Cruces",NM,A,"Single Labor Organization",Initial,06/12/2015,81,,"NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION, LOCAL 2",22,,,,,40,62,,1,,,"Including:  all full-time and regular part-time emergency medical technicians (EMTs), paramedics, field training officers, relief supersvisors, mechanics, vehicle service technicians (VSTs), clerks, and billers employed by the Employerat its Dona Ana County, New Mexico facilities.  

Excluding:  all other employees, guards, and supervisors as defined by the Act.",,,
"Region 22, Newark, New Jersey",22-RD-114233,"BIO-MEDICAL APPLICATIONS OF NEW JERSEY, INC. d/b/a BIO-MEDICAL APPLICATIONS OF JERSEY CITY, INC.",Closed,09/26/2013,06/15/2015,"Certification of Results","JERSEY CITY",NJ,A,"Single Labor Organization",Rerun,06/03/2015,39,,"District 1199J, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",12,,,,,23,35,,,,,"All full-time and regular part-time Staff Registered Nurses, Patient Care Technicians, Ward Clerks, Mechanical Technician I, and Regulatory Compliance and Inventory Technicians employed by the Employer at its Jersey City, New Jersey facility, but excluding all office clerical employees, dieticians, social workers, physicians, Clinical Managers, head nurses/permanent charge nurses, engineers, managerial employees, guards and supervisors as defined in the Act, and all other employees.",,,
"Region 10, Atlanta, Georgia",10-RD-105644,"NTN-BOWER CORPORATION",Closed,05/22/2013,05/28/2015,"Certification of Results",HAMILTON,AL,A,"Single Labor Organization",Rerun,05/19/2015,132,,"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA, AFL-C",52,,,,,74,126,,4,,,"All production and maintenance employees employed by the Employer at its Hamilton, Alabama facility located at 2086 Military Street S, Hamilton, AL

All temporary employees, office clerical employees, plant clerical employees, technical employees, guards, watchmen, and supervisors as defined in the Act.",,,
"Region 05, Baltimore, Maryland",05-RC-105509,"Bergman Brothers Staffing, Inc.",Closed,05/21/2013,05/19/2015,"Certific. of Representative",Mechanicsville,MD,A,"Single Labor Organization",Initial,05/11/2015,12,3,"Construction and Master Laborers' Local 11, a/w Laborers' International Union of North America (LIUNA)",7,,,,,,7,,6,,"Construction and Master Laborers' Local 11, a/w Laborers' International Union of North America (LIUNA)","All full-time and regular part-time licensed or certified asbestos abatement employees, including employees performing asbestos abatement of mechanical systems, working in the State of Maryland of whom the Employer is an employer, excluding office clerical employees, managerial employees, professional employees, guards, and supervisors as defined in the Act.",,,
"Region 20, San Francisco, California",20-RC-111147,"Sacramento Container Corporation",Closed,08/13/2013,04/20/2015,"Certific. of Representative",McClellan,CA,A,"Single Labor Organization",Initial,04/10/2015,91,1,"Graphic Communications Conference- International Brotherhood of Teamsters, Local 388M",52,,,,,31,89,,6,,"Graphic Communications Conference- International Brotherhood of Teamsters, Local 388M","All full-time and regular part-time Operators, Operator-Banders, Assistant
Operators, Assistant Operator-Banders, Forklift Drivers, Floaters, Load Formers,
Pallet Yard Workers, Maintenance Mechanics, Maintenance Workers, Mechanic
Trainees, Dispatchers, Custodians, and Shipping Utility employees working for
the Employer at its McClellan, California facility, located at 4841 Urbani Avenue
in McClellan, California; excluding all temporary employees, confidential
employees, guards, administrative employees, accounting personnel and
supervisors as defined by the Act.",,,
"Region 29, Brooklyn, New York",29-RC-114120,"Atlas Roll-Off Corp.",Closed,09/25/2013,03/26/2015,"Certification of Results",Jamaica,NY,A,"Single Labor Organization",Rerun,03/18/2015,24,,"United Plant and Production Workers Local 175",3,,,,,10,13,,7,,,"Included:  All full-time and regular part-time construction employees who are machine operators, concrete construction laborers, including form setters and carpenters; masons, asphalt workers, including screed men, asphalt rakers, asphalt shovelers and all other laborers, employed by the Employer, Atlas Roll-Off Corp., located at 95-11 147th Place, Jamaica, New York.
Excluding:  All employees of Atlas Transit Mix Corporation and Pro-Concrete Contractors Corporation, located at 95-11 147th Place, Jamaica, New York, all employees working out of Atlas Roll-Off Corp.’s 895 Essex Street, Brooklyn, New York location, including concrete plant workers, machine operators, mechanics, dump truck drivers, concrete construction workers, concrete delivery truck drivers, roll-off container drivers, and transfer station/recycling yard employees and further excluding all office clericals, guards, managers and supervisors as defined under Section 2(11) of the Act.",,,
"Region 10, Atlanta, Georgia",10-RD-105644,"NTN-BOWER CORPORATION",Closed,05/22/2013,05/28/2015,"Certification of Results",HAMILTON,AL,A,"Single Labor Organization",Rerun,02/20/2015,140,,"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA, AFL-C",50,,,,,82,132,,5,,,"All production and maintenance employees employed by the Employer at its Hamilton, Alabama facility located at 2086 Military Street S, Hamilton, AL

All temporary employees, office clerical employees, plant clerical employees, technical employees, guards, watchmen, and supervisors as defined in the Act.",,,
"Region 10, Atlanta, Georgia",10-RD-105644,"NTN-BOWER CORPORATION",Closed,05/22/2013,05/28/2015,"Certification of Results",HAMILTON,AL,A,"Single Labor Organization",Rerun,02/20/2015,140,,"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA, AFL-C",50,,,,,82,132,,5,,,"All production and maintenance employees employed by the Employer at its Hamilton, Alabama facility located at 2086 Military Street S, Hamilton, AL

All temporary employees, office clerical employees, plant clerical employees, technical employees, guards, watchmen, and supervisors as defined in the Act.",,,
"Region 06, Pittsburgh, Pennsylvania",06-RD-097418,"UNIFIRST CORPORATION",Closed,01/31/2013,02/24/2015,"Certific. of Representative","New Kensington",PA,A,"Single Labor Organization",Rerun,02/11/2015,149,,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, Local 1324-15, AFL-CIO, CLC",72,,,,,70,142,,,,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, Local 1324-15, AFL-CIO, CLC","All full-time and regular  part-time employees employed by the Employer at its New Kensington, Pennsylvania, facility; excluding all office clerical, managerial, sales representatives, administrative employees and guards, professional employees  and supervisors as defined in the Act.",,,
"Region 06, Pittsburgh, Pennsylvania",06-RD-097418,"UNIFIRST CORPORATION",Closed,01/31/2013,02/24/2015,"Certific. of Representative","New Kensington",PA,A,"Single Labor Organization",Rerun,01/27/2015,149,,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, Local 1324-15, AFL-CIO, CLC",71,,,,,70,143,,2,Y,,"All full-time and regular  part-time employees employed by the Employer at its New Kensington, Pennsylvania, facility; excluding all office clerical, managerial, sales representatives, administrative employees and guards, professional employees  and supervisors as defined in the Act.",,,
"Region 19, Seattle, Washington",19-RC-102521,"Pacific Lutheran University",Closed,04/11/2013,01/15/2015,"Withdrawal Non-adjusted",TACOMA,WA,A,"Single Labor Organization",Initial,01/08/2015,151,1,"Service Employees International Union (SEIU) Local 925, CTW, CLC",30,,,,,54,84,,38,Y,,"All full-time and refular part-time non-tenured contingent faculty employed by the Employer on campus and off campus including in the following classifications: instructor, lecturer, senior lecturer, visiting facult, clinical faculty, leave replacement faculty, professor emeritus/retired faculty, and resident faculty; excluding all other employees, tenured faculty, administrative faculty, full-time staff who are not compensated additionally for teaching, administrators, department administrators, administrators with teaching responsibilities, counselors, coordinators, campus clergy, deans, associate deans, campus safety personnel, lab assistants, graduate assistants, teaching assistants, managers, guards and supervisors as defined in the Act.",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-104485,"Virgo Medical Services, Inc.",Closed,05/07/2013,03/17/2015,"Certific. of Representative",PHILADELPHIA,PA,A,"Revised Single Labor Org",Initial,01/08/2015,27,3," Teamsters Local Union No. 115",13,,,,,6,19,,,," Teamsters Local Union No. 115","INCLUDED:  All full-time, regular part-time, and per-diem (working 20 hours or more per week) Drivers, Dispatchers, and On-Site Coordinators employed by the Employer at its Philadelphia, Pennsylvania facility.

EXCLUDED:  All other employees, Operations Managers, guards, and supervisors as defined in the Act.",,,
"Region 01, Boston, Massachusetts",01-RC-106263,"Dominion Nuclear Connecticut, Inc.",Closed,05/31/2013,12/11/2014,"Certification of Results",Waterford,CT,A,"Single Labor Organization",Initial,12/03/2014,429,1,"International Brotherhood of Electrical Workers, Local 457, AFL-CIO",183,,,,,222,415,,10,,,"All full-time and regular part-time production and maintenance employees employed by the Employer at its Waterford, Connecticut facility in its Nuclear Operations, Outage and Planning, Nuclear Maintenance, Nuclear Site Services, and Training Departments, as set forth more fully in Appendix A, but excluding employees employed in all other departments, certain employees set forth in Appendix B, all other employees, professional employees, office clerical employees, guards and supervisors as defined in the Act.",,,
"Region 12, Tampa, Florida",24-RD-100467,"Hospital San Carlos, Inc.",Closed,03/15/2013,12/08/2014,"Certification of Results",MOCA,PR,A,"Single Labor Organization",Initial,11/26/2014,9,,"Unidad Laboral De Enfermeras (os) Y  Empleados De La Salud",4,,,,,5,9,,,,,"All medical Technologists employed by the Employer at its Hospital San Carlos, Inc. facility in Moca, Puerto Rico; but excluding, all other employees, guards and supervisors, as defined in the Act.",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-115860,"NEW CENTURY TRANSPORTATION, INC.",Closed,10/29/2013,12/04/2014,"Certific. of Representative",WESTAMPTON,NJ,A,"Revised Single Labor Org",Initial,11/24/2014,236,,"International Brotherhood of Teamsters Local Union 107",98,,,,,96,194,,12,,"International Brotherhood of Teamsters Local Union 107","Included:  All full-time and regular part-time local drivers and yard jockeys employed by the Employer at its facility located at 45 East Park Drive, Westampton, New Jersey.

Excluded:  All other employees, regional (road) drivers, warehouse employees, dock employees, office clerical employees, managers, guards and supervisors as defined in the Act.",,,
"Region 05, Baltimore, Maryland",05-RC-117169,"Tito Contractors Inc.",Closed,11/15/2013,12/12/2013,"Certific. of Representative",Cockeysville,MD,A,"Single Labor Organization",Initial,11/19/2014,87,6,"The International Union of Painters and Allied Trades, District Council 51, AFL-CIO",28,,,,,13,41,,13,,"The International Union of Painters and Allied Trades, District Council 51, AFL-CIO","All employees employed by the Employer, excluding all project managers, recycling supervisors, clerical employees, managerial employees, professional employees, guards, and supervisors as defined by the Act.",,,
