Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 01, Boston, Massachusetts",01-RC-179057,"Freshbev Craft Juicery, LLC",Closed,06/27/2016,10/10/2019,"Certification of Results","New Haven",CT,A,"Single Labor Organization",Initial,09/26/2019,32,,"United Food and Commercial Workers International Union, Local 371, AFL-CIO",7,,,,,14,29,,8,,,"All full-time and regular part-time production, maintenance, packaging, warehouse shipping/logistics, HPP, and sanitation employees employed at the Employer’s New Haven, Connecticut facility; but excluding drivers, office clericals, and guards, professional employees, and supervisors as defined in the Act.",,,
"Region 29, Brooklyn, New York",29-RC-190281,"Juice Press, LLC",Closed,12/22/2016,05/13/2019,"Certification of Results","Long Island City",NY,A,"Single Labor Organization",Initial,04/30/2019,104,1," Local 1181-1061, Amalgamated Transit Union, AFL-CIO",39,,,,,41,,,,,,"Included:All full time and regular part time employees working in the back of the house, commissary kitchen, packers, transportation and maintenance, employed by the Employer at its Long Island City facility.


Excluded: Managers, clericals employees, professional employees, guards and supervisors as defined in the Act.",,,
"Region 18, Minneapolis, Minnesota",18-RM-186941,"Samuel, Son & Co. (USA)",Closed,10/25/2016,12/06/2018,"Certification of Results",Marinette,WI,A,"Single Labor Organization",Initial,11/28/2018,189,,"Local Union No. 400 of the United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO",57,,,,,110,167,,,,,"All full-time and regular part-time production and maintenance employees including Leads, Blaster, Burner, CNC Set Up/Operator, Cleaner, Finisher, Hydrotester, Machine Operator, Machine Welder, Machinist, Material Handler, Painter, Robotic Tech, Shipper, Utility, Welder, A-Welder, Welding Ambassador, Assistant Foremen, Custodian Staff, Maintenance Technicians, Maintenance Clerk, Maintenance Lead Man, Tool & Die Staff, Stockroom Clerks, Storekeeper, Shipping Clerk, Shipping Clerk 2, QA Tech, QA Project Tech, NDE Tech, and Receiving Clerk employed at the Employer's facility at 2121 Cleveland Avenue, Marinette, Wisconsin; excluding Office Clericals (in all departments including Accounting and Finance Department, Human Resources Department, Purchasing Department, Sales Department, Production Control Department, Customer Care Department, Engineering Department, Safety Department), Shipping Coordinator, Office Assistants, Production Clerk, Continuous Improvement Coordinator, Welding Technician, Quality Services Administrator, temporary employees, seasonal employees, and guards and supervisors as defined by the Act.",,,
"Region 13, Chicago, Illinois",13-RC-177943,"Northwestern University",Closed,06/09/2016,10/17/2018,"Certification of Results",Evanston,IL,A,"Revised Single Labor Org",Initial,10/09/2018,678,4,"Chicago and Midwest Regional Joint Board, Workers United/Service Employees International Union",231,,,,,242,473,,,,,"Including: All full-time and part-time graduate and undergraduate non-tenure-eligible faculty (including the following titles: Adjunct Faculty; Adjunct Instructors; Adjunct Lecturers; Adjunct Assistant Professors; Adjunct Associate Professors; Adjunct Professors; Clinical Assistant Professors; Clinical Associate Professors; Clinical Professors; Artists-in-Residence; Instructors; Lecturers; Senior Lecturers; Distinguished Senior Lecturers; Visiting Assistant Professors in the Weinberg College of Arts and Sciences; Assistant Professors of Instruction; Associate Professors of Instruction; Professors of Instruction; and Weinberg College of Arts and Sciences Advisors who hold teaching-track appointments) employed by Northwestern University and have taught at least one credit bearing course in a degree granting program at Weinberg College of Arts and Sciences, McCormick School of Engineering & Applied Sciences, Bienen School of Music, the School of Communication, the School of Education & Social Policy, Medill School of Journalism, and the Graduate School.
Excluding: All tenured faculty, tenure-eligible faculty, emeritus faculty, Postdoctoral Fellows, Visiting Postdocs, All Other Postdoctoral Job Classifications, Visiting Faculty, Visiting Lecturers, Visiting Scholars, Visiting Associate Professors, Visiting Professors, Research Assistant Professors, Research Associate Professors, Research Professors, faculty in non-degree granting programs, the Feinberg School of Medicine faculty, the Pritzker Law School faculty, the Kellogg School of Business faculty, the School for Professional Studies faculty, Northwestern in Qatar faculty, all faculty teaching only at the Chicago or Doha campuses, all administrators (including deans, directors, provosts, and chairs who may have teaching assignments), other administrators and staff who have teaching assignments, faculty who are paid directly or indirectly by other entities including governments, other academic institutions and other organizations, graduate students, athletic coaches, all other employees employed at the University, including those who teach a class or course and are separately compensated for such teaching, managers, confidential employees, office clerical employees, and guards and supervisors as defined in the Act.

Those eligible to vote in the election are employees in the above unit who were employed during the payroll period ending May 31, 2016, and who have taught at least one credit bearing course in a degree granting program in the Spring 2016, Winter 2016 or Fall 2015 quarters, and who were also active in the University’s HRIS system as of May 31, 2016.",,,
"Region 29, Brooklyn, New York",29-RD-174985,"Cellco Partnership dba Verizon Wireless",Closed,04/27/2016,09/04/2018,"Certific. of Representative",Brooklyn,NY,A,"Single Labor Organization",Initial,08/23/2018,41,,"COMMUNICATION WORKERS OF AMERICA, LOCAL 1109",20,,,,,15,39,,4,,"Verizon Wireless","Included: All full-time and regular part-time employees who are employed in the job titles of Solution Specialist, Experience Specialist and Operation Specialist, in the following five (5) locations: 146 Montague Street, Brooklyn, NY; 1623 Kings Highway, Brooklyn, NY; 2141 86th Street, Brooklyn, NY; 8524 5th Avenue, Brooklyn, NY; and 139 Flatbush Avenue, Brooklyn, NY who were employed during the payroll period ending July 28, 2018. 

Excluded: All other employees of the Employer in other job titles, confidential employees, managerial employees, professional employees, guards, and supervisory employees as defined by Section 2(11) of the Act.",,,
"Region 13, Chicago, Illinois",13-RC-169141,"Hanson Cold Storage Co. of Indiana",Closed,02/04/2016,06/11/2018,"Certification of Results",Hobart,IN,A,"Revised Single Labor Org",Initial,06/01/2018,37,1,"Teamsters Local Union No. 142, affiliated with the International Brotherhood of Teamsters",18,,,,,18,36,,,,,"Included:  All full-time and regular part-time warehousemen, dockworkers, pickers, runners, team leads, inventory workers and maintenance workers employed by the Employer at its facility currently located at 2201 Northwind Parkway, Hobart, Indiana 46342

Excluded:  Drivers, WMS Coordinators, office clerical employees and guards, professional employees and supervisors as defined by the Act.",,,
"Region 12, Tampa, Florida",12-RC-175179,"Advanced Masonry Associates, LLC d/b/a Advanced Masonry Systems",Closed,04/29/2016,05/08/2018,"Certific. of Representative",Sarasota,FL,A,"Revised Single Labor Org",Initial,04/23/2018,110,2,"Bricklayers and Allied Craftworkers Local 8 Southeast",25,,,,,16,41,,,,"Bricklayers and Allied Craftworkers Local 8 Southeast","INCLUDED: All bricklayers and/or masons employed by the Employer at its work locations within the State of Florida.

EXCLUDED: All other employees, office and clerical employees, professional employees, guards and supervisors as defined in the Act.",,,
"Region 01, Boston, Massachusetts",01-RC-186442,"PRESIDENT AND FELLOWS OF HARVARD COLLEGE",Closed,10/18/2016,04/30/2018,"Certific. of Representative",CAMBRIDGE,MA,A,"Single Labor Organization",Rerun,04/19/2018,5050,3,"WPI GRADUATE WORKERS UNION-International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America, UAW",1931,,,,,1523,3454,,146,,"WPI GRADUATE WORKERS UNION-International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America, UAW",,,,
"Region 19, Seattle, Washington",19-RD-190582,"Franciscan Medical Group",Closed,12/29/2016,04/25/2018,"Certification of Results",Tacoma,WA,A,"Single Labor Organization",Initial,04/17/2018,113,2,"International Association of Machinists and Aerospace Workers, Local Lodge SC711",36,,,,,64,100,,,N,,"All full-time, regular part-time and per diem Medical Assistants, Patient Access Representatives, Schedulers and Referral Coordinators employed by the Employer at its clinics located within the Franciscan Medical Group - Highline Region defined as follows: Northernmost Point: Alki Point; Easternmost Point: Interstate 5; Southernmost Point: Kent Des Moines Road; and Westernmost Point: the shoreline of Puget Sound waterway, including Vashon Island; excluding all other employees, all other facilities, all employees employed by the Employer at Franciscan Foot and Ankle Associates –Burien and Franciscan Heart and Vascular Associates- Burien, professional employees, technical employees, confidential employees, managerial employees, and guards and supervisors as defined by the Act.",,,
"Region 05, Baltimore, Maryland",05-RC-183865,"D & H Demolition, LLC",Closed,09/08/2016,09/11/2018,"Certific. of Representative","New Carrollton",MD,A,"Revised Single Labor Org",Rerun,04/06/2018,23,,"Construction and Master Laborers' Local Union 11",,,,,,,,,12,,,"All full-time and regular part-time laborers, including demolition and asbestos removal employees employed directly by the Employer at its jobsites at which the Employer performs work in the District of Columbia and in Maryland within the District of Columbia metropolitan area; excluding employees at any jobsite who are jointly employed by the Employer and any other employer, foreman, superintendents, office clerical employees, confidential employees, managerial employees, professional employees, guards and supervisors as defined in the Act.",,,
