family,specification,outcome,variable,b,se,p,N,positive_outcome_rows,counties,ci_low,ci_high
county_week_ppml,primary,rc_petition_count,p95_days_lag1_4,.011185593094717,.0064609731,.083406262,192690,18965,1431,-.001477681411144,.0238488676005781
single_window_ppml,window_1_16,rc_petition_count,p95_days_cumulative_1_16,.0064190973680623,.0023969226,.0074050408,192690,18965,1431,.0017212154795804,.0111169792565442
single_window_ppml,window_1_24,rc_petition_count,p95_days_cumulative_1_24,.0037229186218233,.0027892352,.1819597,190233,18791,1426,-.0017438819306275,.0091897191742741
state_week_ppml,aggregate_incidence,rc_petition_count,p95_days_lag1_4,.0009163736827689,.0040358035,.82037628,34667,11339,48,-.0069936558051108,.0088264031706485
full_panel_linear,any_petition_lpm,any_rc_petition,p95_days_lag1_4,.0000123519165579,.000027141201,.64903849,2260083,19024,3105,-.0000408438597365,.0000655476928523
full_panel_linear,petition_count_ols,rc_petition_count,p95_days_lag1_4,1.80892320968e-06,.000035204477,.95902008,2260083,19024,3105,-.0000671905841413,.0000708084305607
full_panel_same_fe_linear,any_petition_lpm_same_fe,any_rc_petition,p95_days_lag1_4,.0000598092629805,.000042097552,.15539521,2260083,19024,3105,-.0000227004229107,.0001423189488717
full_panel_same_fe_linear,petition_count_ols_same_fe,rc_petition_count,p95_days_lag1_4,.000068713709614,.000051081613,.17856874,2260083,19024,3105,-.0000314044131025,.0001688318323305
