specification,variable,b,se,p,N,petition_events,counties,ci_low,ci_high
primary_esample,heat_1_2,-.0142313100654858,.031427585,.65067214,192690,21929,1431,-.0758282439800861,.0473656238491145
primary_esample,heat_3_4,.0197903039716746,.038236238,.60475147,192690,21929,1431,-.0551513455348932,.0947319534782423
primary_esample,heat_5_7,.0228046726412167,.045175672,.61369944,192690,21929,1431,-.0657380166280022,.1113473619104355
primary_esample,heat_8plus,.0508256518218488,.079978697,.52510899,192690,21929,1431,-.1059297138323835,.2075810174760811
