specification,variable,b,se,p,N,petition_events,counties,ci_low,ci_high
primary,p95_days_lag1_4,.011185593094717,.0064609731,.083406262,192690,21990,1433,-.001477681411144,.023848867600578
jeem_countyyear,p95_days_lag1_4,.0101645232790591,.0091251479,.26532111,122147,21132,1230,-.0077204380490512,.0280494846071694
jeem_precipitation,p95_days_lag1_4,.0108128213363228,.0067178137,.10749079,192690,21929,1431,-.0023538515056716,.0239794941783172
jeem_precipitation,precipitation_lag1_4,-.0001594532013986,.00040707004,.69527286,192690,21929,1431,-.0009572958148853,.0006383894120881
