"01-RC-248808","119 Belmont Street, Worcester, MA, ","Match","Exact","119 BELMONT ST, WORCESTER, MA, 01605","-71.791129522172,42.272265741901","639008593","L","25","027","731900","1013"
"27-RC-268059","700 Exxonmobil Road, Billings, MT, 59101","Match","Non_Exact","700 EXXONMOBILE RD, BILLINGS, MT, 59101","-108.433468921747,45.812267148819","181480353","R","30","111","000800","1003"
"14-RC-208171","320 Shockdrake Court, Wentzville, MO, ","Match","Exact","320 SHOCKDRAKE CT, WENTZVILLE, MO, 63385","-90.835328705342,38.826216397012","617667715","R","29","183","312095","1004"
"21-RC-199484","845 North Lark Ellen Avenue, West Covina, CA, ","Match","Exact","845 N LARK ELLEN AVE, WEST COVINA, CA, 91791","-117.916632831602,34.084723539279","626847004","L","06","037","405600","1003"
"08-RC-217224","2125 Bark Creek Drive, Fremont, OH, ","Match","Exact","2125 BARK CREEK DR, FREMONT, OH, 43420","-83.076498614979,41.350919176704","38677468","R","39","143","961700","3002"
"10-RC-061343","1170 Cleveland Avenue, East Point, GA, 30344","Match","Exact","1170 CLEVELAND AVE, EAST POINT, GA, 30344","-84.430054555507,33.680063472634","640546248","L","13","121","011000","3008"
"13-RC-160457","2501 W. Bradley Place, Chicago, IL, ","Match","Exact","2501 W BRADLEY PL, CHICAGO, IL, 60618","-87.690887742358,41.949405693732","111760860","L","17","031","843700","1010"
"18-RC-244071","200 Sime Avenue., 914 East Clifton St. Tomah, WI, 54660","Match","Non_Exact","200 SIME AVE, TOMAH, WI, 54660","-90.48925742864,43.985318762762","51079271","R","55","081","950600","2035"
"19-RC-315806","914 S Scheuber Rd, Centralia, WA, ","Match","Exact","914 S SCHEUBER RD, CENTRALIA, WA, 98531","-122.986898179763,46.712712865162","639491847","R","53","041","970200","3032"
"01-RC-252073","40 Slater Road, Cranston, RI, ","Match","Exact","40 SLATER RD, CRANSTON, RI, 02920","-71.44914913931,41.746896483299","47498367","L","44","007","014200","2022"
"12-RC-349665","13401 Blue Heron Beach Drive, Orlando, FL, ","Match","Exact","13401 BLUE HERON BEACH DR, ORLANDO, FL, 32821","-81.50276624576,28.368762997415","637882988","L","12","095","017023","3000"
"04-RC-236178","1 Munroe Avenue, Fairfax, VA, ","No_Match"
"14-RC-221143","3636 South Kingshighway Blvd, St. Louis, MO, ","Match","Exact","3636 S KINGSHIGHWAY BLVD, SAINT LOUIS, MO, 63109","-90.271694416887,38.593578507676","107599889","L","29","510","115200","2014"
"03-RC-264197","3063 Court Street, Syracuse, NY, ","Match","Exact","3063 COURT ST, SYRACUSE, NY, 13208","-76.124870974438,43.082948191656","46622971","L","36","067","014200","1026"
"09-RC-268025","3000 Sharon Road, Cincinnati, OH, 45241","Match","Non_Exact","3000 E SHARON RD, CINCINNATI, OH, 45241","-84.424925906644,39.269076948546","645624572","L","39","061","023001","2023"
"04-RC-106910","111 Stitzer Avenue, Wernersville, PA, ","Match","Exact","111 STITZER AVE, WERNERSVILLE, PA, 19565","-76.079305400762,40.330810979197","80371099","R","42","011","010601","1026"
"15-RC-333431","1001 Elysian Fields Ave., New Orleans, LA, ","Match","Exact","1001 ELYSIAN FIELDS AVE, NEW ORLEANS, LA, 70117","-90.056584201055,29.967626237516","191716502","R","22","071","001800","1016"
"02-RC-249344","310 East 14Th Street, New York, NY, ","Match","Exact","310 E 14TH ST, NEW YORK, NY, 10003","-73.984680439361,40.732172506589","59653731","R","36","061","004001","2000"
"03-RC-110971","241 North Road, Poughkeepsie, NY, ","Match","Exact","241 NORTH RD, POUGHKEEPSIE, NY, 12601","-73.932732295187,41.727997523447","657889498","L","36","027","140101","2014"
"13-RC-095709","6747 N. Lincoln Avenue, Lincolnwood, IL, ","Match","Non_Exact","6747 LINCOLN AVE, LINCOLNWOOD, IL, 60712","-87.728610021958,42.003531464348","111742151","R","17","031","808002","4003"
"01-RC-289350","364 Brookline Avenue, Boston, MA, 02215","Match","Exact","364 BROOKLINE AVE, BOSTON, MA, 02215","-71.10732186463,42.338804746048","85698424","L","25","025","081001","5003"
"03-RC-098767","108 Silas Ln, Oneonta, NY, ","No_Match"
"04-RC-071731","54 Sharp Street, Millville, NJ, ","Match","Exact","54 SHARP ST, MILLVILLE, NJ, 08332","-75.042909809721,39.413398319535","174127101","R","34","011","030402","3000"
"07-RC-347276","14200 North Haggerty Road, Plymouth, MI, ","Match","Exact","14200 N HAGGERTY RD, PLYMOUTH, MI, 48170","-83.445357921109,42.38414837934","95410613","R","26","163","561600","1036"
"19-RC-293927","46 In The St, Seattle, WA, ","No_Match"
"06-RC-083845","10 Wilson Road, Eighty Four, PA, ","Match","Exact","10 WILSON RD, EIGHTY FOUR, PA, 15330","-80.136667305778,40.216173373999","52806449","L","42","125","745200","1024"
"20-RC-084933","35 Executive Way, Napa, CA, ","Match","Exact","35 EXECUTIVE WAY, NAPA, CA, 94558","-122.255785273041,38.225334373752","67436032","L","06","055","201005","1038"
"21-RC-096139","2131 Walnut Grove Avenue, Rosemead, CA, ","Match","Exact","2131 WALNUT GROVE AVE, ROSEMEAD, CA, 91770","-118.082029843619,34.052936134984","142245660","L","06","037","482403","1003"
"13-RC-299779","1750 West Harrison Street, Chicago, IL, 60612","Match","Exact","1750 W HARRISON ST, CHICAGO, IL, 60612","-87.67064337761,41.874169445029","111802505","R","17","031","838100","1011"
"10-RC-223530","660 National Turnpike, Munfordville, KY, ","Match","Exact","660 NATIONAL TPKE, MUNFORDVILLE, KY, 42765","-85.894077049483,37.27672736501","96812787","R","21","099","970302","2008"
"07-RC-221281","965 Fork Street, Muskegon, MI, ","Match","Exact","965 FORK ST, MUSKEGON, MI, 49442","-86.237574508198,43.235098160001","77651426","R","26","121","000300","4014"
"16-RC-133896","1472 Mines Road, Laredo, TX, ","No_Match"
"18-RC-244081","2309 Nicollet Avenue, Minneapolis, MN, ","Match","Exact","2309 NICOLLET AVE, MINNEAPOLIS, MN, 55404","-93.27775703996,44.959981971484","43632266","L","27","053","106900","1007"
"19-RC-217395","3504 Se 92Nd Ave., Portland, OR, ","Match","Exact","3504 SE 92ND AVE, PORTLAND, OR, 97266","-122.56841238324,45.496795199261","157520212","L","41","051","008301","1001"
"02-RC-351024","1111 Amsterdam Avenue And 114Th Street, Mount Sinai West Hospital Located At 1000 Tenth Avenue, NY, ","No_Match"
"05-RC-210463","6511 American Boulevard, Hyattsville, MD, ","Match","Non_Exact","6511 AMERICA BLVD, HYATTSVILLE, MD, 20782","-76.95211270646,38.968302385733","649343013","R","24","033","805908","1018"
"10-RC-150042","705 Lively Ave., Norcross, GA, 30071","Match","Exact","705 LIVELY AVE, NORCROSS, GA, 30071","-84.208536780058,33.934471502637","88884306","L","13","135","050330","1000"
"18-RC-331832","110 Saugstad Road, Hillsboro, WI, 54634","No_Match"
"20-RC-122063","5051 47Th Avenue, Sacramento, CA, ","Match","Exact","5051 47TH AVE, SACRAMENTO, CA, 95824","-121.44537165596,38.510512217933","647399996","L","06","067","004604","2012"
